«1780-0000»,【 カンマ区切りテキスト形式です。】
«1780-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1780-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1780-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1780-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1780-0050»,【 外部リンク　】
«1780-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/169 ～ 173】
«1780-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1780h　(翻刻編集終了データを表成型して表示します)】
«1780-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1780ht (翻刻編集中データを表成型して表示します)】
«1780-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1780-0100»,«版元»,出版地○○,出版元□□□,　
«1780-2080»,«節中»,大暑六月中今暁ねの六刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1780-2090»,«暦日1»,廿二〳,つちのとのみ,ひらく,木,　,くゑ日 ちう日 ふく日
«1780-2100»,«暦日2»,廿三〳,かのえむま,とつ,土,中伏,●
«1780-2110»,«暦日0»,廿四〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1780-2120»,«暦日2»,廿五〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1780-2130»,«暦日0»,廿六〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1780-2140»,«暦日2»,廿七〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1780-2150»,«暦日0»,廿八〳,きのとのい,さたん,,　,ちう日 わうまう
«1780-2160»,«暦日2»,廿九〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1780-2170»,«暦日0»,卅〳,ひのとのうし,やふる,,　,十し
«1780-2180»,«月序»,七月,小,建,甲申,鬼宿　室　火よう
«1780-2190»,«暦日2»,一〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1780-2200»,«暦日0»,二〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1780-2210»,«暦日2»,三〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1780-2220»,«暦日0»,四〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1780-2230»,«暦日2»,五〳,みつのえむま,とつ,木,　,●
«1780-2240»,«暦日0»,六〳,みつのとのひつし,とつ,,　,天おん 母倉
«1780-2250»,«節中»,立秋七月せつうの三刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1780-2260»,«暦日2»,七〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1780-2270»,«暦日0»,八〳,きのとのとり,のそく,,　,十し
«1780-2280»,«暦日2»,九〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1780-2290»,«暦日0»,十〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1780-2300»,«暦日2»,十一〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
«1780-2310»,«暦日0»,十二〳,つちのとのうし,とる,,　,●
«1780-2320»,«暦日2»,十三〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1780-2330»,«暦日0»,十四〳,かのとのう,あやふ,,　,わうまう
«1780-2340»,«暦日2»,十五〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1780-2350»,«暦日0»,十六〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1780-2360»,«暦日2»,十七〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1780-2370»,«暦日0»,十八〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1780-2380»,«暦日2»,十九〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1780-2390»,«暦日0»,廿〳,ひのとのとり,のそく,,　,十し
«1780-2400»,«暦日1»,廿一〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
