«1777-0000»,【 カンマ区切りテキスト形式です。】
«1777-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1777-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1777-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1777-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1777-0050»,【 外部リンク　】
«1777-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/155 ～ 159】
«1777-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1777h　(翻刻編集終了データを表成型して表示します)】
«1777-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1777ht (翻刻編集中データを表成型して表示します)】
«1777-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1777-0100»,«版元»,出版地○○,出版元□□□,　
«1777-1460»,«暦日2»,廿七〳,みつのえいぬ,とる,水,ま日,ふく日
«1777-1470»,«暦日0»,廿八〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1777-1480»,«暦日2»,廿九〳,きのえね,あやふ,金,　,天おん
«1777-1490»,«暦日0»,卅〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1777-1500»,«月序»,五月,小,建,丙午,室宿　牛　金よう
«1777-1510»,«暦日1»,一〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1777-1520»,«節中»,芒種五月せつさるの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1777-1530»,«暦日1»,二〳,ひのとのう,おさん,火,　,天おん 母倉 ちいみ 大くわ ふく日
«1777-1540»,«暦日2»,三〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1777-1550»,«暦日0»,四〳,つちのとのみ,とつ,,　,十し
«1777-1560»,«暦日2»,五〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1777-1570»,«暦日0»,六〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1777-1580»,«暦日2»,七〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1777-1590»,«暦日0»,八〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1777-1600»,«暦日2»,九〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1777-1610»,«暦日0»,十〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1777-1620»,«暦日2»,十一〳,ひのえね,やふる,水,　,●
«1777-1630»,«暦日0»,十二〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1777-1640»,«暦日2»,十三〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1777-1650»,«暦日0»,十四〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1777-1660»,«暦日2»,十五〳,かのえたつ,ひらく,金,　,きしく 天おん  けんふく かといてよし
«1777-1670»,«暦日0»,十六〳,かのとのみ,とつ,,　,十し
«1777-1680»,«節中»,夏至五月中いぬの七刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1777-1690»,«暦日2»,十七〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1777-1700»,«暦日0»,十八〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1777-1710»,«暦日2»,十九〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1777-1720»,«暦日0»,廿〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1777-1730»,«暦日2»,廿一〳,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
«1777-1740»,«暦日0»,廿二〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1777-1750»,«暦日2»,廿三〳,つちのえね,やふる,火,　,●
«1777-1760»,«暦日0»,廿四〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1777-1770»,«暦日2»,廿五〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1777-1780»,«暦日0»,廿六〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1777-1790»,«暦日2»,廿七〳,みつのえたつ,ひらく,水,はんけしやう,大みやう 五む日
«1777-1800»,«暦日0»,廿八〳,みつのとのみ,とつ,,天一天上,十し
«1777-1810»,«暦日1»,廿九〳,きのえむま,たつ,金,　,天しや よろつよし
«1777-1820»,«月序»,六月,小,建,丁未,壁宿　女　土よう
«1777-1830»,«暦日1»,一〳,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
«1777-1840»,«暦日2»,二〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1777-1850»,«暦日0»,三〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1777-1860»,«節中»,小暑六月せつ今暁うしの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1777-1870»,«暦日2»,四〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1777-1880»,«暦日0»,五〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1777-1890»,«暦日2»,六〳,かのえね,とる,土,　,きこ 下しきたつの時
«1777-1900»,«暦日0»,七〳,かのとのうし,やふる,,　,十し
«1777-1910»,«暦日2»,八〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1777-1920»,«暦日0»,九〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1777-1930»,«暦日2»,十〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1777-1940»,«暦日0»,十一〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1777-1950»,«暦日2»,十二〳,ひのえむま,とつ,水,　,●
«1777-1960»,«暦日0»,十三〳,ひのとのひつし,たつ,,　,くゑ日
«1777-1970»,«暦日2»,十四〳,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
«1777-1980»,«暦日0»,十五〳,つちのとのとり,みつ,,とよううの四刻ニ入,神よし 大みやう 天おん 月とく ちいみ ふく日
