《1870-0000》,# カンマ区切りテキスト形式です。
《1870-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1870-2610》,《暦日2》,十二／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1870-2620》,《暦日0》,十三／,ひのとのひつし,ひらく,,　,●
《1870-2630》,《節中》,白露八月せつ明六時五分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1870-2640》,《暦日2》,十四／,つちのえさる,とつ,土,　,天しや よろつよし
《1870-2650》,《暦日0》,十五／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1870-2660》,《暦日2》,十六／,かのえいぬ,のそく,金,二百廿日,大みやう 天おん 母倉 月とく ちいみ
《1870-2670》,《暦日0》,十七／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《1870-2680》,《暦日2》,十八／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《1870-2690》,《暦日0》,十九／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《1870-2700》,《暦日2》,廿／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1870-2710》,《暦日0》,廿一／,きのとのう,やふる,,　,くゑ日 ふく日
《1870-2720》,《暦日2》,廿二／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《1870-2730》,《暦日0》,廿三／,ひのとのみ,なる,,　,十し
《1870-2740》,《暦日2》,廿四／,つちのえむま,おさん,火,ま日/社日,めつもん
《1870-2750》,《暦日0》,廿五／,つちのとのひつし,ひらく,,ひかんニなる,●
《1870-2760》,《暦日2》,廿六／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《1870-2770》,《暦日0》,廿七／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
