《1759-0000》,# カンマ区切りテキスト形式です。
《1759-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1759-0020》,# ・表の区画内での改行は“/”で表記します。
《1759-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1759-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1759-0050》,# 外部リンク
《1759-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/68 ～ 73
《1759-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1759g　(GitHub上データを表成型)
《1759-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1759h　(翻刻編集データを表成型 - 未実装)
《1759-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1759-0100》,《版元》,出版地○○,出版元□□□,　
《1759-2130》,《節中》,大暑六月中いぬの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1759-2140》,《暦日1》,廿九／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1759-2150》,《月序》,七月,大,建,壬申,鬼宿　尾　火よう
《1759-2160》,《暦日1》,一／,つちのとのう,なる,土,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1759-2170》,《暦日2》,二／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《1759-2180》,《暦日0》,三／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1759-2190》,《暦日2》,四／,みつのえむま,とつ,木,　,●
《1759-2200》,《暦日0》,五／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1759-2210》,《暦日2》,六／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1759-2220》,《暦日0》,七／,きのとのとり,みつ,,　,ちいみ わうまう
《1759-2230》,《暦日2》,八／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1759-2240》,《暦日0》,九／,ひのとのい,さたん,,　,大みやう ちう日
《1759-2250》,《暦日2》,十／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1759-2260》,《暦日0》,十一／,つちのとのうし,やふる,,　,十し
《1759-2270》,《暦日2》,十二／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1759-2280》,《暦日0》,十三／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1759-2290》,《暦日2》,十四／,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
《1759-2300》,《暦日0》,十五／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1759-2310》,《節中》,立秋七月せつ今暁ねの六刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
