《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-1410》,《暦日0》,廿二／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1787-1420》,《節中》,芒種五月せつ今暁うしの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1787-1430》,《暦日2》,廿三／,かのえさる,みつ,木,　,さい下しき 神よし きしく 大みやう  入学 むきかりよし
《1787-1440》,《暦日0》,廿四／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1787-1450》,《暦日2》,廿五／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1787-1460》,《暦日0》,廿六／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1787-1470》,《暦日2》,廿七／,きのえね,やふる,金,　,●
《1787-1480》,《暦日0》,廿八／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1787-1490》,《暦日2》,廿九／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1787-1500》,《暦日0》,卅／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1787-1510》,《月序》,五月,小,建,丙午,參宿　氐　土よう
《1787-1520》,《暦日2》,一／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1787-1530》,《暦日0》,二／,つちのとのみ,とつ,,　,十し
《1787-1540》,《暦日2》,三／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1787-1550》,《暦日0》,四／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1787-1560》,《暦日2》,五／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1787-1570》,《暦日0》,六／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1787-1580》,《暦日1》,七／,きのえいぬ,さたん,火,　,わうまう  わたまし くらたてよし
