《1719-0000》,# カンマ区切りテキスト形式です。
《1719-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1719-0020》,# ・表の区画内での改行は“/”で表記します。
《1719-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1719-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1719-0050》,# 外部リンク
《1719-1740》,《暦日2》,廿八／,かのえね,とる,土,初伏,さい下しき きこ 下しきたつの時
《1719-1750》,《暦日0》,廿九／,かのとのうし,やふる,,　,十し
《1719-1760》,《月序》,六月,大,建,辛未,昴宿　心　月よう
《1719-1770》,《暦日2》,一／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1719-1780》,《暦日0》,二／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1719-1790》,《暦日2》,三／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1719-1800》,《暦日0》,四／,きのとのみ,ひらく,,とようとらの三刻ニ入,大みやう ちう日
《1719-1810》,《暦日2》,五／,ひのえむま,とつ,水,　,●
《1719-1820》,《暦日0》,六／,ひのとのひつし,たつ,,　,くゑ日
《1719-1830》,《暦日2》,七／,つちのえさる,のそく,土,六月中とらの八刻,神よし ふく日  たねまきよし
《1719-1840》,《暦日0》,八／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1719-1850》,《暦日2》,九／,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
《1719-1860》,《暦日0》,十／,かのとのい,さたん,,　,大みやう ちう日
《1719-1870》,《暦日2》,十一／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1719-1880》,《暦日0》,十二／,みつのとのうし,やふる,,ま日,十し
《1719-1890》,《暦日2》,十三／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1719-1900》,《暦日0》,十四／,きのとのう,なる,,　,天火 らうしやく わうまう
《1719-1910》,《暦日2》,十五／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1719-1920》,《暦日0》,十六／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1719-1930》,《暦日2》,十七／,つちのえむま,とつ,火,ま日,●
《1719-1940》,《暦日0》,十八／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1719-1950》,《暦日2》,十九／,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
《1719-1960》,《暦日0》,廿／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1719-1970》,《暦日2》,廿一／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1719-1980》,《暦日0》,廿二／,みつのとのい,たいら,,立秋七月せつみの四刻ニ入/八せんのおはり,ちう日 めつもん 地火
《1719-1990》,《暦日2》,廿三／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1719-2000》,《暦日0》,廿四／,きのとのうし,とる,,　,●
《1719-2010》,《暦日2》,廿五／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1719-2020》,《暦日0》,廿六／,ひのとのう,あやふ,,　,神よし  わたましよし
《1719-2030》,《暦日2》,廿七／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1719-2040》,《暦日0》,廿八／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1719-2050》,《暦日2》,廿九／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1719-2060》,《暦日0》,卅／,かのとのひつし,とつ,,　,大みやう わうまう  ものたちよし
《1719-2070》,《月序》,七月,小,建,壬申,畢宿　箕　水よう
《1719-2080》,《暦日2》,一／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1719-2090》,《暦日0》,二／,みつのとのとり,のそく,,　,十し
《1719-2100》,《暦日2》,三／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1719-2110》,《暦日0》,四／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1719-2120》,《暦日2》,五／,ひのえね,さたん,水,　, 田かりよし
《1719-2130》,《暦日0》,六／,ひのとのうし,とる,,　,●
《1719-2140》,《暦日2》,七／,つちのえとら,やふる,土,七月中さるの一刻, たねまき  つめとりよし
《1719-2150》,《暦日0》,八／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1719-2160》,《暦日2》,九／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1719-2170》,《暦日0》,十／,かのとのみ,おさん,,　,大くわ ちう日
