《1858-0000》,# カンマ区切りテキスト形式です。
《1858-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1858-0020》,# ・表の区画内での改行は“/”で表記します。
《1858-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1858-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1858-0050》,# 外部リンク
《1858-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/47 ～ 55
《1858-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1858g　(GitHub上データを表成型)
《1858-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1858h　(翻刻編集データを表成型 - 未実装)
《1858-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1858-0100》,《版元》,出版地○○,出版元□□□,　
《1858-1990》,《暦日2》,十四／,つちのえむま,とつ,火,ま日,●
《1858-2000》,《暦日0》,十五／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1858-2010》,《暦日2》,十六／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1858-2020》,《暦日0》,十七／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1858-2030》,《暦日2》,十八／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1858-2040》,《暦日0》,十九／,みつのとのい,さたん,,八せんのおはり,ちう日
《1858-2050》,《暦日2》,廿／,きのえね,とる,金,　,きしく 天おん 月とく きこ わうまう 下しきたつの時
《1858-2060》,《暦日0》,廿一／,きのとのうし,やふる,,　,十し
《1858-2070》,《暦日2》,廿二／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1858-2080》,《暦日0》,廿三／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1858-2090》,《暦日2》,廿四／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1858-2100》,《暦日0》,廿五／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1858-2110》,《暦日2》,廿六／,かのえむま,とつ,土,　,●
《1858-2120》,《暦日0》,廿七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1858-2130》,《暦日2》,廿八／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1858-2140》,《暦日0》,廿九／,みつのとのとり,のそく,,　,十し
《1858-2150》,《節中》,立秋七月せつ明六時七分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1858-2160》,《月序》,七月,小,建,庚申,箕宿　心　月よう
《1858-2170》,《暦日2》,一／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1858-2180》,《暦日0》,二／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1858-2190》,《暦日2》,三／,ひのえね,さたん,水,　, 田かりよし
《1858-2200》,《暦日0》,四／,ひのとのうし,とる,,　,●
《1858-2210》,《暦日2》,五／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1858-2220》,《暦日0》,六／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1858-2230》,《暦日2》,七／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《1858-2240》,《暦日0》,八／,かのとのみ,おさん,,　,天おん 大くわ ちう日 わうまう
《1858-2250》,《暦日2》,九／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1858-2260》,《暦日0》,十／,みつのとのひつし,とつ,,　,天おん 母倉
《1858-2270》,《暦日2》,十一／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1858-2280》,《暦日0》,十二／,きのとのとり,のそく,,　,十し
《1858-2290》,《暦日2》,十三／,ひのえいぬ,みつ,土,　,母倉 五む日
《1858-2300》,《暦日0》,十四／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1858-2310》,《暦日1》,十五／,つちのえね,さたん,火,　, けんふく くさかりよし
《1858-2320》,《節中》,処暑七月中夜五時日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1858-2330》,《暦日1》,十六／,つちのとのうし,とる,火,　,●
《1858-2340》,《食記》,月そく五分
《1858-2350》,《暦日2》,十七／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1858-2360》,《暦日0》,十八／,かのとのう,あやふ,,　,神よし
《1858-2370》,《暦日2》,十九／,みつのえたつ,なる,水,　,きしく 大みやう 母倉 月とく 五む日 ちいみ
《1858-2380》,《暦日0》,廿／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1858-2390》,《暦日2》,廿一／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1858-2400》,《暦日0》,廿二／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1858-2410》,《暦日2》,廿三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1858-2420》,《暦日0》,廿四／,ひのとのとり,のそく,,二百十日,十し
《1858-2430》,《暦日2》,廿五／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1858-2440》,《暦日0》,廿六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1858-2450》,《暦日2》,廿七／,かのえね,さたん,土,　,神よし ふく日
《1858-2460》,《暦日0》,廿八／,かのとのうし,とる,,　,●
《1858-2470》,《暦日1》,廿九／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1858-2480》,《月序》,八月,大,建,辛酉,斗宿　尾　火よう
