«1757-0000»,【 カンマ区切りテキスト形式です。】
«1757-1650»,«暦日0»,十二〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1757-1660»,«暦日2»,十三〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1757-1670»,«暦日0»,十四〳,きのとのみ,とつ,,　,十し
«1757-1680»,«暦日2»,十五〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1757-1690»,«暦日0»,十六〳,ひのとのひつし,のそく,,はんけしやう,神よし ふく日
«1757-1700»,«暦日2»,十七〳,つちのえさる,みつ,土,　,神よし  入学よし
«1757-1710»,«暦日0»,十八〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1757-1720»,«暦日2»,十九〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1757-1730»,«暦日0»,廿〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1757-1740»,«暦日1»,廿一〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1757-1750»,«節中»,小暑六月せつ今暁うしの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1757-1760»,«暦日1»,廿二〳,みつのとのうし,やふる,木,ま日,十し
«1757-1770»,«暦日2»,廿三〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1757-1780»,«暦日0»,廿四〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1757-1790»,«暦日2»,廿五〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1757-1800»,«暦日0»,廿六〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1757-1810»,«暦日2»,廿七〳,つちのえむま,とつ,火,ま日,●
«1757-1820»,«暦日0»,廿八〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1757-1830»,«暦日1»,廿九〳,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
«1757-1840»,«月序»,六月,大,建,丁未,張宿　柳　土よう
«1757-1850»,«暦日1»,一〳,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1757-1860»,«暦日2»,二〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1757-1870»,«暦日0»,三〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1757-1880»,«暦日2»,四〳,きのえね,とる,金,とよううの七刻ニ入,天おん 月とく きこ 下しきたつの時
«1757-1890»,«暦日0»,五〳,きのとのうし,やふる,,　,十し
«1757-1900»,«暦日2»,六〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1757-1910»,«暦日0»,七〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1757-1920»,«節中»,大暑六月中たつの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1757-1930»,«暦日2»,八〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1757-1940»,«暦日0»,九〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1757-1950»,«暦日2»,十〳,かのえむま,とつ,土,中伏,●
«1757-1960»,«暦日0»,十一〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1757-1970»,«暦日2»,十二〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1757-1980»,«暦日0»,十三〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1757-1990»,«暦日2»,十四〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1757-2000»,«暦日0»,十五〳,きのとのい,さたん,,　,ちう日 わうまう
«1757-2010»,«暦日2»,十六〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1757-2020»,«暦日0»,十七〳,ひのとのうし,やふる,,　,十し
«1757-2030»,«暦日2»,十八〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1757-2040»,«暦日0»,十九〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1757-2050»,«暦日2»,廿〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1757-2060»,«暦日0»,廿一〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1757-2070»,«暦日1»,廿二〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1757-2080»,«節中»,立秋七月せつむまの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1757-2090»,«暦日1»,廿三〳,みつのとのひつし,とつ,木,　,天おん 母倉
«1757-2100»,«暦日2»,廿四〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1757-2110»,«暦日0»,廿五〳,きのとのとり,のそく,,　,十し
«1757-2120»,«暦日2»,廿六〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1757-2130»,«暦日0»,廿七〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1757-2140»,«暦日2»,廿八〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
«1757-2150»,«暦日0»,廿九〳,つちのとのうし,とる,,　,●
«1757-2160»,«暦日1»,卅〳,かのえとら,やふる,木,末伏,さい下しき ふく日 わうまう  つめとりよし
«1757-2170»,«月序»,七月,小,建,戊申,翼宿　張　月よう
«1757-2180»,«暦日1»,一〳,かのとのう,あやふ,木,　,神よし
