《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《2270》,《暦日0》,廿二／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2280》,《暦日2》,廿三／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2290》,《暦日0》,廿四／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2300》,《暦日2》,廿五／,みつのえさる,とつ,金,八月せつたつの四刻ニ入,神よし きしく 大みやう
《2310》,《暦日0》,廿六／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2320》,《暦日2》,廿七／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《2330》,《暦日0》,廿八／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《2340》,《暦日2》,廿九／,ひのえね,たいら,水,　,大くわ 地火
《2350》,《暦日0》,卅／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《2360》,《月序》,八月,小,建,己酉,房宿　角　木よう
《2370》,《暦日2》,一／,つちのえとら,とる,土,二百廿日,きこ  田かり  つめとりよし
《2380》,《暦日0》,二／,つちのとのう,やふる,,　,大みやう
《2390》,《暦日2》,三／,かのえたつ,あやふ,金,　
《2400》,《暦日0》,四／,かのとのみ,なる,,　,十し
《2410》,《暦日2》,五／,みつのえむま,おさん,木,　,大みやう めつもん
《2420》,《暦日0》,六／,みつのとのひつし,ひらく,,　,●
《2430》,《暦日2》,七／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2440》,《暦日0》,八／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《2450》,《暦日2》,九／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《2460》,《暦日0》,十／,ひのとのい,みつ,,秋分八月中ひつしの一刻,大みやう ちう日  入学よし
《2470》,《暦日2》,十一／,つちのえね,たいら,火,社日,大くわ 地火
《2480》,《暦日0》,十二／,つちのとのうし,さたん,,ひかんニなる,わうまう  かまぬり  つめとりよし
《2490》,《暦日2》,十三／,かのえとら,とる,木,　,きこ  つめとりよし
《2500》,《暦日0》,十四／,かのとのう,やふる,,　,ふく日  田かりよし
《2510》,《暦日2》,十五／,みつのえたつ,あやふ,水,　,大みやう 五む日
《2520》,《暦日0》,十六／,みつのとのみ,なる,,天一天上,十し
《2530》,《暦日2》,十七／,きのえむま,おさん,金,　,めつもん
《2540》,《暦日0》,十八／,きのとのひつし,ひらく,,　,●
《2550》,《暦日2》,十九／,ひのえさる,とつ,火,　,神よし
《2560》,《暦日0》,廿／,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
《2570》,《暦日2》,廿一／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《2580》,《暦日0》,廿二／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2590》,《暦日2》,廿三／,かのえね,たいら,土,　,神よし きしく 大くわ 地火
《2600》,《暦日0》,廿四／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2610》,《暦日2》,廿五／,みつのえとら,さたん,金,かん露九月せつとりの六刻ニ入,●
《2620》,《暦日0》,廿六／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《2630》,《暦日2》,廿七／,きのえたつ,やふる,火,　,大みやう
《2640》,《暦日0》,廿八／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《2650》,《暦日1》,廿九／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《2660》,《月序》,九月,小,建,庚戌,心宿　亢　金よう
《2670》,《暦日1》,一／,ひのとのひつし,おさん,水,　,神よし 大くわ  田かりよし
《2680》,《暦日2》,二／,つちのえさる,ひらく,土,　,天しや よろつよし
《2690》,《暦日0》,三／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《2700》,《暦日2》,四／,かのえいぬ,たつ,金,　,大みやう くゑ日
《2710》,《暦日0》,五／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《2720》,《暦日2》,六／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《2730》,《暦日0》,七／,みつのとのうし,たいら,,ま日,十し
《2740》,《暦日2》,八／,きのえとら,さたん,水,とよういの七刻ニ入,●
