«1770-0000»,【 カンマ区切りテキスト形式です。】
«1770-2230»,«暦日0»,六〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1770-2240»,«暦日2»,七〳,みつのえむま,とつ,木,　,●
«1770-2250»,«暦日0»,八〳,みつのとのひつし,たつ,,　,天おん わうまう  たねまきよし
«1770-2260»,«暦日2»,九〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1770-2270»,«暦日0»,十〳,きのとのとり,みつ,,　,神よし ちいみ
«1770-2280»,«暦日2»,十一〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1770-2290»,«暦日0»,十二〳,ひのとのい,さたん,,　,大みやう ちう日
«1770-2300»,«暦日2»,十三〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1770-2310»,«暦日0»,十四〳,つちのとのうし,やふる,,　,十し
«1770-2320»,«暦日1»,十五〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1770-2330»,«節中»,立秋七月せつさるの五刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1770-2340»,«暦日1»,十六〳,かのとのう,あやふ,木,　,神よし
«1770-2350»,«暦日2»,十七〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1770-2360»,«暦日0»,十八〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1770-2370»,«暦日2»,十九〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1770-2380»,«暦日0»,廿〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1770-2390»,«暦日2»,廿一〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1770-2400»,«暦日0»,廿二〳,ひのとのとり,のそく,,　,十し
«1770-2410»,«暦日2»,廿三〳,つちのえいぬ,みつ,木,　,母倉 わうまう  くらたて かまぬりよし
«1770-2420»,«暦日0»,廿四〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1770-2430»,«暦日2»,廿五〳,かのえね,さたん,土,　,神よし ふく日
