«1721-0000»,【 カンマ区切りテキスト形式です。】
«1721-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1721-2060»,«暦日1»,一〳,かのえさる,のそく,木,中伏,大みやう
«1721-2070»,«食記»,日帯そく,　
«1721-2080»,«暦日1»,二〳,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1721-2090»,«暦日2»,三〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1721-2100»,«暦日0»,四〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1721-2110»,«暦日2»,五〳,きのえね,とる,金,　,きこ 下しきたつの時
«1721-2120»,«暦日0»,六〳,きのとのうし,やふる,,　,十し
«1721-2130»,«暦日2»,七〳,ひのえとら,あやふ,火,　,わうまう  わたまし  つめとりよし
«1721-2140»,«暦日0»,八〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1721-2150»,«暦日2»,九〳,つちのえたつ,おさん,木,　,きしく 五む日 ふく日 めつもん
«1721-2160»,«暦日0»,十〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1721-2170»,«暦日2»,十一〳,かのえむま,とつ,土,　,●
«1721-2180»,«暦日0»,十二〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1721-2190»,«暦日2»,十三〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1721-2200»,«暦日0»,十四〳,みつのとのとり,のそく,,立秋七月せついの三刻ニ入,十し
«1721-2210»,«暦日2»,十五〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1721-2220»,«暦日0»,十六〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1721-2230»,«暦日2»,十七〳,ひのえね,さたん,水,　, 田かりよし
«1721-2240»,«暦日0»,十八〳,ひのとのうし,とる,,　,●
«1721-2250»,«暦日2»,十九〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1721-2260»,«暦日0»,廿〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1721-2270»,«暦日2»,廿一〳,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
«1721-2280»,«暦日0»,廿二〳,かのとのみ,おさん,,　,大くわ ちう日 わうまう
«1721-2290»,«暦日2»,廿三〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1721-2300»,«暦日0»,廿四〳,みつのとのひつし,とつ,,　
«1721-2310»,«暦日2»,廿五〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1721-2320»,«暦日0»,廿六〳,きのとのとり,のそく,,　,十し
«1721-2330»,«暦日2»,廿七〳,ひのえいぬ,みつ,土,　,五む日
«1721-2340»,«暦日0»,廿八〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1721-2350»,«暦日2»,廿九〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1721-2360»,«暦日0»,卅〳,つちのとのうし,とる,,七月中とらの初刻,●
«1721-2370»,«月序»,閏七月,小,隨節用之,胃　土よう
«1721-2380»,«暦日2»,一〳,かのえとら,やふる,木,　,さい下しき ふく日  つめとりよし
«1721-2390»,«暦日0»,二〳,かのとのう,あやふ,,　,神よし
«1721-2400»,«暦日2»,三〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1721-2410»,«暦日0»,四〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1721-2420»,«暦日2»,五〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1721-2430»,«暦日0»,六〳,きのとのひつし,とつ,,　,大みやう 五む日
«1721-2440»,«暦日2»,七〳,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
«1721-2450»,«暦日0»,八〳,ひのとのとり,のそく,,　,十し
«1721-2460»,«暦日2»,九〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1721-2470»,«暦日0»,十〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1721-2480»,«暦日2»,十一〳,かのえね,さたん,土,二百十日,神よし ふく日
«1721-2490»,«暦日0»,十二〳,かのとのうし,とる,,　,●
«1721-2500»,«暦日2»,十三〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1721-2510»,«暦日0»,十四〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1721-2520»,«暦日2»,十五〳,きのえたつ,あやふ,火,八月せつたつの五刻ニ入,大みやう  けんふく わたましよし
«1721-2530»,«暦日0»,十六〳,きのとのみ,なる,,　,十し
«1721-2540»,«暦日2»,十七〳,ひのえむま,おさん,水,　,大みやう めつもん
«1721-2550»,«暦日0»,十八〳,ひのとのひつし,ひらく,,　,●
«1721-2560»,«暦日2»,十九〳,つちのえさる,とつ,土,　,天しや よろつよし
«1721-2570»,«暦日0»,廿〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1721-2580»,«暦日2»,廿一〳,かのえいぬ,のそく,金,二百廿日,大みやう ちいみ
«1721-2590»,«暦日0»,廿二〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1721-2600»,«暦日2»,廿三〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1721-2610»,«暦日0»,廿四〳,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
«1721-2620»,«暦日2»,廿五〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1721-2630»,«暦日0»,廿六〳,きのとのう,やふる,,　,くゑ日 ふく日
«1721-2640»,«暦日2»,廿七〳,ひのえたつ,あやふ,土,ま日,大みやう
«1721-2650»,«暦日0»,廿八〳,ひのとのみ,なる,,　,十し
«1721-2660»,«暦日1»,廿九〳,つちのえむま,おさん,火,ま日|社日,めつもん
«1721-2670»,«月序»,八月,大,建,丁酉,婁宿　昴　日よう
«1721-2680»,«暦日1»,一〳,つちのとのひつし,ひらく,火,秋分八月中ひつしの二刻,●
«1721-2690»,«暦日2»,二〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1721-2700»,«暦日0»,三〳,かのとのとり,たつ,,ひかんニなる,大みやう くゑ日 ふく日 天火 らうしやく わうまう 下しきむまの時
«1721-2710»,«暦日2»,四〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1721-2720»,«暦日0»,五〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1721-2730»,«暦日2»,六〳,きのえね,たいら,金,　,きしく 大くわ 地火  わたましよし
«1721-2740»,«暦日0»,七〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1721-2750»,«暦日2»,八〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1721-2760»,«暦日0»,九〳,ひのとのう,やふる,,　, 田かりよし
«1721-2770»,«暦日2»,十〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
«1721-2780»,«暦日0»,十一〳,つちのとのみ,なる,,　,十し
«1721-2790»,«暦日2»,十二〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1721-2800»,«暦日0»,十三〳,かのとのひつし,ひらく,,　,●
«1721-2810»,«暦日2»,十四〳,みつのえさる,とつ,金,　,神よし 大みやう
«1721-2820»,«暦日0»,十五〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1721-2830»,«暦日2»,十六〳,きのえいぬ,たつ,火,かん露九月せつとりの七刻ニ入,くゑ日
«1721-2840»,«暦日0»,十七〳,きのとのい,のそく,,　,ちう日  田かりよし
«1721-2850»,«暦日2»,十八〳,ひのえね,みつ,水,　,きこ 天火 らうしやく
«1721-2860»,«暦日0»,十九〳,ひのとのうし,たいら,,　,十し
«1721-2870»,«暦日2»,廿〳,つちのえとら,さたん,土,　,●
«1721-2880»,«暦日0»,廿一〳,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
«1721-2890»,«暦日2»,廿二〳,かのえたつ,やふる,金,　
«1721-2900»,«暦日0»,廿三〳,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
