«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-1680»,«暦日2»,廿四〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1689-1690»,«暦日0»,廿五〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1689-1700»,«暦日2»,廿六〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1689-1710»,«暦日0»,廿七〳,みつのとのみ,とつ,,天一天上,十し
«1689-1720»,«暦日2»,廿八〳,きのえむま,たつ,金,　,天しや よろつよし
«1689-1730»,«暦日0»,廿九〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1689-1740»,«月序»,五月,大,建,庚午,參宿　鬼　金よう
«1689-1750»,«暦日2»,一〳,ひのえさる,みつ,火,　,神よし きしく  入学 いちたちよし
«1689-1760»,«暦日0»,二〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1689-1770»,«暦日2»,三〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1689-1780»,«暦日0»,四〳,つちのとのい,とる,,　,神よし ちう日
«1689-1790»,«暦日2»,五〳,かのえね,やふる,土,夏至五月中むまの六刻,●
«1689-1800»,«暦日0»,六〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1689-1810»,«暦日2»,七〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1689-1820»,«暦日0»,八〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1689-1830»,«暦日2»,九〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1689-1840»,«暦日0»,十〳,きのとのみ,とつ,,　,十し
«1689-1850»,«暦日2»,十一〳,ひのえむま,たつ,水,　,さい下しき 大みやう くゑ日 下しきうの時
«1689-1860»,«暦日0»,十二〳,ひのとのひつし,のそく,,　,神よし ふく日
«1689-1870»,«暦日2»,十三〳,つちのえさる,みつ,土,　,神よし  入学よし
«1689-1880»,«暦日0»,十四〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1689-1890»,«暦日2»,十五〳,かのえいぬ,さたん,金,はんけしやう,大みやう  かといてよし
«1689-1900»,«暦日0»,十六〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1689-1910»,«暦日2»,十七〳,みつのえね,やふる,木,八せんのはしめ,●
«1689-1920»,«暦日0»,十八〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1689-1930»,«暦日2»,十九〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1689-1940»,«暦日0»,廿〳,きのとのう,なる,,六月せつとりの二刻ニ入,神よし 天火 らうしやく
«1689-1950»,«暦日2»,廿一〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
