《1722-0000》,# カンマ区切りテキスト形式です。
《1722-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1722-1910》,《暦日0》,十八／,かのとのひつし,たつ,,　,大みやう わうまう  かといて ふねのりよし
《1722-1920》,《暦日2》,十九／,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
《1722-1930》,《暦日0》,廿／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1722-1940》,《暦日2》,廿一／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1722-1950》,《暦日0》,廿二／,きのとのい,さたん,,　,ちう日
《1722-1960》,《暦日2》,廿三／,ひのえね,とる,水,　,きこ 下しきたつの時
《1722-1970》,《暦日0》,廿四／,ひのとのうし,やふる,,　,十し
《1722-1980》,《暦日2》,廿五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1722-1990》,《暦日0》,廿六／,つちのとのう,あやふ,,立秋七月せつとらの二刻ニ入,神よし 大みやう  みそすつくりよし
《1722-2000》,《暦日2》,廿七／,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
《1722-2010》,《暦日0》,廿八／,かのとのみ,おさん,,　,大くわ ちう日
《1722-2020》,《暦日2》,廿九／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1722-2030》,《暦日0》,卅／,みつのとのひつし,とつ,,　
《1722-2040》,《月序》,七月,大,建,戊申,翼宿　箕　水よう
《1722-2050》,《暦日2》,一／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1722-2060》,《暦日0》,二／,きのとのとり,のそく,,　,十し
《1722-2070》,《暦日2》,三／,ひのえいぬ,みつ,土,　,五む日
《1722-2080》,《暦日0》,四／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火 わうまう
《1722-2090》,《暦日2》,五／,つちのえね,さたん,火,　, けんふく くさかりよし
《1722-2100》,《暦日0》,六／,つちのとのうし,とる,,　,●
《1722-2110》,《暦日2》,七／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1722-2120》,《暦日0》,八／,かのとのう,あやふ,,　,神よし
《1722-2130》,《暦日2》,九／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1722-2140》,《暦日0》,十／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1722-2150》,《暦日2》,十一／,きのえむま,ひらく,金,七月中たつの七刻,神よし ふく日 天火 らうしやく  かといてよし
《1722-2160》,《暦日0》,十二／,きのとのひつし,とつ,,　,大みやう 五む日
《1722-2170》,《暦日2》,十三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1722-2180》,《暦日0》,十四／,ひのとのとり,のそく,,　,十し
《1722-2190》,《暦日2》,十五／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1722-2200》,《暦日0》,十六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1722-2210》,《暦日2》,十七／,かのえね,さたん,土,　,神よし きしく ふく日
《1722-2220》,《暦日0》,十八／,かのとのうし,とる,,　,●
《1722-2230》,《暦日2》,十九／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1722-2240》,《暦日0》,廿／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1722-2250》,《暦日2》,廿一／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1722-2260》,《暦日0》,廿二／,きのとのみ,おさん,,二百十日,神よし 大みやう 大くわ ちう日  けんふくよし
《1722-2270》,《暦日2》,廿三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1722-2280》,《暦日0》,廿四／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1722-2290》,《暦日2》,廿五／,つちのえさる,たつ,土,　,天しや よろつよし
《1722-2300》,《暦日0》,廿六／,つちのとのとり,たつ,,八月せつひつしの四刻ニ入,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1722-2310》,《暦日2》,廿七／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1722-2320》,《暦日0》,廿八／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1722-2330》,《暦日2》,廿九／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1722-2340》,《暦日0》,卅／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1722-2350》,《月序》,八月,小,建,己酉,軫宿　牛　金よう
《1722-2360》,《暦日2》,一／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1722-2370》,《暦日0》,二／,きのとのう,やふる,,二百廿日,くゑ日 ふく日
《1722-2380》,《暦日2》,三／,ひのえたつ,あやふ,土,ま日,大みやう
《1722-2390》,《暦日0》,四／,ひのとのみ,なる,,　,十し
《1722-2400》,《暦日2》,五／,つちのえむま,おさん,火,ま日,めつもん
《1722-2410》,《暦日0》,六／,つちのとのひつし,ひらく,,　,●
《1722-2420》,《暦日2》,七／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
