«1872-0000»,【 カンマ区切りテキスト形式です。】
«1872-2240»,«暦日0»,七〳,つちのとのうし,とる,,　,●
«1872-2250»,«暦日2»,八〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1872-2260»,«暦日0»,九〳,かのとのう,あやふ,,　,神よし
«1872-2270»,«暦日2»,十〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1872-2280»,«暦日0»,十一〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1872-2290»,«暦日2»,十二〳,きのえむま,ひらく,金,　,ふく日 天火 らうしやく わうまう  かといてよし
«1872-2300»,«暦日0»,十三〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1872-2310»,«暦日2»,十四〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1872-2320»,«暦日0»,十五〳,ひのとのとり,のそく,,　,十し
«1872-2330»,«暦日2»,十六〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1872-2340»,«暦日0»,十七〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1872-2350»,«暦日2»,十八〳,かのえね,さたん,土,　,神よし ふく日
«1872-2360»,«暦日0»,十九〳,かのとのうし,とる,,　,●
«1872-2370»,«暦日1»,廿〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1872-2380»,«節中»,処暑七月中明六時五分日の出より日入まて,昼五十四刻半|夜四十五刻半,六より六まて,昼五十九刻半余|夜四十刻余
«1872-2390»,«暦日1»,廿一〳,みつのとのう,あやふ,金,　,神よし  わたまし みそすつくりよし
«1872-2400»,«暦日2»,廿二〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1872-2410»,«暦日0»,廿三〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1872-2420»,«暦日2»,廿四〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1872-2430»,«暦日0»,廿五〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1872-2440»,«暦日2»,廿六〳,つちのえさる,たつ,土,　,天しや よろつよし
«1872-2450»,«暦日0»,廿七〳,つちのとのとり,のそく,,　,十し
«1872-2460»,«暦日2»,廿八〳,かのえいぬ,みつ,金,二百十日,大みやう 天おん 母倉 ふく日
«1872-2470»,«暦日0»,廿九〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1872-2480»,«暦日1»,卅〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1872-2490»,«月序»,八月,大,建,己酉,斗宿　觜　火よう
«1872-2500»,«暦日1»,一〳,みつのとのうし,とる,木,ま日,●
«1872-2510»,«暦日2»,二〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1872-2520»,«暦日0»,三〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1872-2530»,«暦日2»,四〳,ひのえたつ,なる,土,ま日,きしく 大みやう 母倉 ちいみ  くさかりよし
«1872-2540»,«暦日0»,五〳,ひのとのみ,なる,,　,十し
«1872-2550»,«節中»,白露八月せつ夕七時六分ニ入日の出より日入まて,昼五十二刻余|夜四十七刻半余,六より六まて,昼五十七刻半|夜四十二刻半
«1872-2560»,«暦日2»,六〳,つちのえむま,おさん,火,ま日,めつもん
«1872-2570»,«暦日0»,七〳,つちのとのひつし,ひらく,,　,●
«1872-2580»,«暦日2»,八〳,かのえさる,とつ,木,二百廿日,神よし 大みやう 月とく  入学よし
«1872-2590»,«暦日0»,九〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1872-2600»,«暦日2»,十〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1872-2610»,«暦日0»,十一〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1872-2620»,«暦日2»,十二〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
«1872-2630»,«暦日0»,十三〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1872-2640»,«暦日2»,十四〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1872-2650»,«暦日0»,十五〳,ひのとのう,やふる,,　,天おん  田かりよし
«1872-2660»,«暦日2»,十六〳,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日  みそすつくりよし
«1872-2670»,«暦日0»,十七〳,つちのとのみ,なる,,　,十し
«1872-2680»,«暦日2»,十八〳,かのえむま,おさん,土,ひかんニなる,月とく めつもん  竹木こりよし
«1872-2690»,«暦日0»,十九〳,かのとのひつし,ひらく,,　,●
«1872-2700»,«暦日2»,廿〳,みつのえさる,とつ,金,　,神よし 大みやう
«1872-2710»,«暦日0»,廿一〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1872-2720»,«節中»,秋分八月中今暁八時八分日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1872-2730»,«暦日2»,廿二〳,きのえいぬ,のそく,火,　,母倉 ちいみ わうまう  竹木こりよし
«1872-2740»,«暦日0»,廿三〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1872-2750»,«暦日2»,廿四〳,ひのえね,たいら,水,　,大くわ 地火
