《1784-0000》,# カンマ区切りテキスト形式です。
《1784-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1784-0020》,# ・表の区画内での改行は“/”で表記します。
《1784-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1784-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1784-0050》,# 外部リンク
《1784-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/188 ～ 192
《1784-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1784g　(GitHub上データを表成型)
《1784-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1784h　(翻刻編集データを表成型 - 未実装)
《1784-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1784-0100》,《版元》,出版地○○,出版元□□□,　
《1784-1890》,《暦日1》,五／,つちのとのひつし,のそく,火,　,神よし 大みやう  みそすつくり 田うへよし
《1784-1900》,《暦日2》,六／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1784-1910》,《暦日0》,七／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1784-1920》,《暦日2》,八／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1784-1930》,《暦日0》,九／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1784-1940》,《暦日2》,十／,きのえね,やふる,金,　,●
《1784-1950》,《暦日0》,十一／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1784-1960》,《暦日2》,十二／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1784-1970》,《暦日0》,十三／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1784-1980》,《暦日2》,十四／,つちのえたつ,ひらく,木,はんけしやう,天おん 五む日  かまぬり 田うへよし
《1784-1990》,《暦日0》,十五／,つちのとのみ,とつ,,　,十し
《1784-2000》,《暦日2》,十六／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1784-2010》,《暦日0》,十七／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
