《1716-0000》,# カンマ区切りテキスト形式です。
《1716-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1716-2060》,《暦日2》,二／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《1716-2070》,《暦日0》,三／,かのとのう,なる,,　,神よし 天火 らうしやく
《1716-2080》,《暦日2》,四／,みつのえたつ,おさん,水,六月中むまの二刻,大みやう 五む日 めつもん
《1716-2090》,《暦日0》,五／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1716-2100》,《暦日2》,六／,きのえむま,とつ,金,　,●
《1716-2110》,《暦日0》,七／,きのとのひつし,たつ,,　,大みやう 五む日
《1716-2120》,《暦日2》,八／,ひのえさる,のそく,火,　,神よし
《1716-2130》,《暦日0》,九／,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
《1716-2140》,《暦日2》,十／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1716-2150》,《暦日0》,十一／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1716-2160》,《暦日2》,十二／,かのえね,とる,土,中伏,きこ わうまう 下しきたつの時
《1716-2170》,《暦日0》,十三／,かのとのうし,やふる,,　,十し
《1716-2180》,《暦日2》,十四／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1716-2190》,《暦日0》,十五／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1716-2200》,《暦日2》,十六／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1716-2210》,《暦日0》,十七／,きのとのみ,ひらく,,　,大みやう ちう日
《1716-2220》,《暦日2》,十八／,ひのえむま,とつ,水,　,●
《1716-2230》,《暦日0》,十九／,ひのとのひつし,とつ,,立秋七月せつさるの七刻ニ入,神よし  いちたちよし
《1716-2240》,《暦日2》,廿／,つちのえさる,たつ,土,　,天しや よろつよし
《1716-2250》,《暦日0》,廿一／,つちのとのとり,のそく,,　,十し
《1716-2260》,《暦日2》,廿二／,かのえいぬ,みつ,金,末伏,大みやう ふく日
《1716-2270》,《暦日0》,廿三／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1716-2280》,《暦日2》,廿四／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1716-2290》,《暦日0》,廿五／,みつのとのうし,とる,,ま日,●
《1716-2300》,《暦日2》,廿六／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1716-2310》,《暦日0》,廿七／,きのとのう,あやふ,,　,わうまう  くらたて かまぬりよし
《1716-2320》,《暦日2》,廿八／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1716-2330》,《暦日0》,廿九／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1716-2340》,《月序》,七月,大,建,丙申,虛宿　心　月よう
《1716-2350》,《暦日2》,一／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1716-2360》,《暦日0》,二／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1716-2370》,《暦日2》,三／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1716-2380》,《暦日0》,四／,かのとのとり,のそく,,　,十し
《1716-2390》,《暦日2》,五／,みつのえいぬ,みつ,水,七月中いの四刻/ま日
《1716-2400》,《暦日0》,六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1716-2410》,《暦日2》,七／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1716-2420》,《暦日0》,八／,きのとのうし,とる,,　,●
《1716-2430》,《暦日2》,九／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1716-2440》,《暦日0》,十／,ひのとのう,あやふ,,　,神よし  わたましよし
《1716-2450》,《暦日2》,十一／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1716-2460》,《暦日0》,十二／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1716-2470》,《暦日2》,十三／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1716-2480》,《暦日0》,十四／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1716-2490》,《暦日2》,十五／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1716-2500》,《暦日0》,十六／,みつのとのとり,のそく,,　,十し
《1716-2510》,《暦日2》,十七／,きのえいぬ,みつ,火,二百十日,ふく日  くらたてよし
《1716-2520》,《暦日0》,十八／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1716-2530》,《暦日2》,十九／,ひのえね,さたん,水,　,きしく  田かりよし
《1716-2540》,《暦日0》,廿／,ひのとのうし,とる,,　,●
《1716-2550》,《暦日2》,廿一／,つちのえとら,とる,土,八月せつとらの一刻ニ入,きこ  田かり  つめとりよし
《1716-2560》,《暦日0》,廿二／,つちのとのう,やふる,,　,大みやう
《1716-2570》,《暦日2》,廿三／,かのえたつ,あやふ,金,　
《1716-2580》,《暦日0》,廿四／,かのとのみ,なる,,　,十し
《1716-2590》,《暦日2》,廿五／,みつのえむま,おさん,木,　,大みやう めつもん
《1716-2600》,《暦日0》,廿六／,みつのとのひつし,ひらく,,　,●
《1716-2610》,《暦日2》,廿七／,きのえさる,とつ,水,二百廿日/十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1716-2620》,《暦日0》,廿八／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1716-2630》,《暦日2》,廿九／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1716-2640》,《暦日0》,卅／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1716-2650》,《月序》,八月,小,建,丁酉,危宿　箕　水よう
《1716-2660》,《暦日2》,一／,つちのえね,たいら,火,社日,大くわ 地火
《1716-2670》,《暦日0》,二／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1716-2680》,《暦日2》,三／,かのえとら,とる,木,　,きこ  つめとりよし
《1716-2690》,《暦日0》,四／,かのとのう,やふる,,　,ふく日  田かりよし
《1716-2700》,《暦日2》,五／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1716-2710》,《暦日0》,六／,みつのとのみ,なる,,秋分八月中たつの六刻/天一天上,十し
《1716-2720》,《暦日2》,七／,きのえむま,おさん,金,　,めつもん
《1716-2730》,《暦日0》,八／,きのとのひつし,ひらく,,ひかんニなる,●
《1716-2740》,《暦日2》,九／,ひのえさる,とつ,火,　,神よし
《1716-2750》,《暦日0》,十／,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
《1716-2760》,《暦日2》,十一／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1716-2770》,《暦日0》,十二／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1716-2780》,《暦日2》,十三／,かのえね,たいら,土,　,神よし 大くわ 地火
《1716-2790》,《暦日0》,十四／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1716-2800》,《暦日2》,十五／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1716-2810》,《暦日0》,十六／,みつのとのう,やふる,,　, くらたて 田かりよし
《1716-2820》,《暦日2》,十七／,きのえたつ,あやふ,火,　,きしく 大みやう  けんふく わたましよし
《1716-2830》,《暦日0》,十八／,きのとのみ,なる,,　,十し
《1716-2840》,《暦日2》,十九／,ひのえむま,おさん,水,　,大みやう めつもん
《1716-2850》,《暦日0》,廿／,ひのとのひつし,ひらく,,　,●
《1716-2860》,《暦日2》,廿一／,つちのえさる,ひらく,土,かん露九月せつひつしの三刻ニ入,天しや よろつよし
《1716-2870》,《暦日0》,廿二／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1716-2880》,《暦日2》,廿三／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1716-2890》,《暦日0》,廿四／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1716-2900》,《暦日2》,廿五／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《1716-2910》,《暦日0》,廿六／,みつのとのうし,たいら,,ま日,十し
《1716-2920》,《暦日2》,廿七／,きのえとら,さたん,水,　,●
《1716-2930》,《暦日0》,廿八／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1716-2940》,《暦日1》,廿九／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
