«1756-0000»,【 カンマ区切りテキスト形式です。】
«1756-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1756-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1756-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1756-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1756-0050»,【 外部リンク　】
«1756-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/53 ～ 58】
«1756-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1756h　(翻刻編集終了データを表成型して表示します)】
«1756-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1756ht (翻刻編集中データを表成型して表示します)】
«1756-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1756-0100»,«版元»,出版地○○,出版元□□□,　
«1756-1680»,«暦日0»,十四〳,かのとのみ,とつ,,　,十し
«1756-1690»,«暦日2»,十五〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1756-1700»,«暦日0»,十六〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1756-1710»,«暦日2»,十七〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1756-1720»,«暦日0»,十八〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1756-1730»,«暦日2»,十九〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1756-1740»,«暦日0»,廿〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1756-1750»,«暦日2»,廿一〳,つちのえね,やふる,火,　,●
«1756-1760»,«暦日0»,廿二〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1756-1770»,«暦日2»,廿三〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1756-1780»,«暦日0»,廿四〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ わうまう  ものたちよし
«1756-1790»,«節中»,夏至五月中さるの一刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1756-1800»,«暦日2»,廿五〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1756-1810»,«暦日0»,廿六〳,みつのとのみ,とつ,,天一天上,十し
«1756-1820»,«暦日2»,廿七〳,きのえむま,たつ,金,　,天しや よろつよし
«1756-1830»,«暦日0»,廿八〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1756-1840»,«暦日1»,廿九〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1756-1850»,«月序»,六月,大,建,乙未,壁宿　房　日よう
«1756-1860»,«暦日1»,一〳,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
«1756-1870»,«暦日2»,二〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1756-1880»,«暦日0»,三〳,つちのとのい,とる,,　,神よし ちう日
«1756-1890»,«暦日2»,四〳,かのえね,やふる,土,　,●
«1756-1900»,«暦日0»,五〳,かのとのうし,あやふ,,はんけしやう,神よし 月とく 五む日  つめとりよし
«1756-1910»,«暦日2»,六〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1756-1920»,«暦日0»,七〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1756-1930»,«暦日2»,八〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1756-1940»,«暦日0»,九〳,きのとのみ,とつ,,　,十し
«1756-1950»,«暦日1»,十〳,ひのえむま,とつ,水,　,●
«1756-1960»,«節中»,小暑六月せついぬの七刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1756-1970»,«暦日1»,十一〳,ひのとのひつし,たつ,水,　,くゑ日
«1756-1980»,«暦日2»,十二〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1756-1990»,«暦日0»,十三〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1756-2000»,«暦日2»,十四〳,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
«1756-2010»,«暦日0»,十五〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1756-2020»,«暦日2»,十六〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1756-2030»,«暦日0»,十七〳,みつのとのうし,やふる,,ま日,十し
«1756-2040»,«暦日2»,十八〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1756-2050»,«暦日0»,十九〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1756-2060»,«暦日2»,廿〳,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
«1756-2070»,«暦日0»,廿一〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1756-2080»,«暦日2»,廿二〳,つちのえむま,とつ,火,ま日,●
«1756-2090»,«暦日0»,廿三〳,つちのとのひつし,たつ,,とよう今暁ねの七刻ニ入,大みやう くゑ日 ふく日
«1756-2100»,«暦日2»,廿四〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1756-2110»,«暦日0»,廿五〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1756-2120»,«暦日1»,廿六〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1756-2130»,«節中»,大暑六月中今暁うしの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1756-2140»,«暦日1»,廿七〳,みつのとのい,さたん,水,八せんのおはり,ちう日
«1756-2150»,«暦日2»,廿八〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1756-2160»,«暦日0»,廿九〳,きのとのうし,やふる,,　,十し
«1756-2170»,«暦日1»,卅〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1756-2180»,«月序»,七月,大,建,丙申,奎宿　尾　火よう
«1756-2190»,«暦日1»,一〳,ひのとのう,なる,火,　,神よし 天おん 天火 らうしやく
«1756-2200»,«暦日2»,二〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1756-2210»,«暦日0»,三〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日 わうまう
«1756-2220»,«暦日2»,四〳,かのえむま,とつ,土,中伏,●
«1756-2230»,«暦日0»,五〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1756-2240»,«暦日2»,六〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1756-2250»,«暦日0»,七〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1756-2260»,«暦日2»,八〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1756-2270»,«暦日0»,九〳,きのとのい,さたん,,　,ちう日
«1756-2280»,«暦日2»,十〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1756-2290»,«暦日0»,十一〳,ひのとのうし,とる,,　,●
«1756-2300»,«節中»,立秋七月せつたつの初刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1756-2310»,«暦日2»,十二〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1756-2320»,«暦日0»,十三〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1756-2330»,«暦日2»,十四〳,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
«1756-2340»,«暦日0»,十五〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1756-2350»,«暦日2»,十六〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1756-2360»,«暦日0»,十七〳,みつのとのひつし,とつ,,　,天おん 母倉
«1756-2370»,«暦日2»,十八〳,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
«1756-2380»,«暦日0»,十九〳,きのとのとり,のそく,,　,十し
«1756-2390»,«暦日2»,廿〳,ひのえいぬ,みつ,土,　,母倉 五む日
