«1798-0000»,【 カンマ区切りテキスト形式です。】
«1798-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1798-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1798-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1798-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1798-0050»,【 外部リンク　】
«1798-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/252 ～ 256】
«1798-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1798h　(翻刻編集終了データを表成型して表示します)】
«1798-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1798ht (翻刻編集中データを表成型して表示します)】
«1798-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1798-0100»,«版元»,出版地○○,出版元□□□,　
«1798-1630»,«暦日2»,九〳,みつのえさる,みつ,金,　,神よし きしく 大みやう  くさかりよし
«1798-1640»,«暦日0»,十〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1798-1650»,«暦日2»,十一〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1798-1660»,«暦日0»,十二〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1798-1670»,«暦日2»,十三〳,ひのえね,やふる,水,　,●
«1798-1680»,«暦日0»,十四〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1798-1690»,«暦日2»,十五〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1798-1700»,«暦日0»,十六〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1798-1710»,«暦日2»,十七〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1798-1720»,«暦日0»,十八〳,かのとのみ,とつ,,　,十し
«1798-1730»,«暦日2»,十九〳,みつのえむま,たつ,木,はんけしやう,大みやう 天おん 下しきうの時
«1798-1740»,«暦日0»,廿〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1798-1750»,«暦日2»,廿一〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1798-1760»,«暦日0»,廿二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1798-1770»,«暦日2»,廿三〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1798-1780»,«暦日0»,廿四〳,ひのとのい,さたん,,　,大みやう ちう日
«1798-1790»,«節中»,小暑六月せつ今暁とらの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1798-1800»,«暦日2»,廿五〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1798-1810»,«暦日0»,廿六〳,つちのとのうし,やふる,,　,十し
«1798-1820»,«暦日2»,廿七〳,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
«1798-1830»,«暦日0»,廿八〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1798-1840»,«暦日2»,廿九〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1798-1850»,«暦日0»,卅〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1798-1860»,«月序»,六月,小,建,己未,壁宿　胃　土よう
«1798-1870»,«暦日2»,一〳,きのえむま,とつ,金,　,●
«1798-1880»,«暦日0»,二〳,きのとのひつし,たつ,,　,大みやう 五む日
«1798-1890»,«暦日2»,三〳,ひのえさる,のそく,火,　,神よし
«1798-1900»,«暦日0»,四〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1798-1910»,«暦日2»,五〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1798-1920»,«暦日0»,六〳,つちのとのい,さたん,,とようたつの七刻ニ入,月とく ちう日 ふく日  ふねのりよし
«1798-1930»,«暦日2»,七〳,かのえね,とる,土,初伏,きしく きこ 下しきたつの時
«1798-1940»,«暦日0»,八〳,かのとのうし,やふる,,　,十し
«1798-1950»,«暦日1»,九〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1798-1960»,«節中»,大暑六月中みの三刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1798-1970»,«暦日1»,十〳,みつのとのう,なる,金,　,神よし 天火 らうしやく
«1798-1980»,«暦日2»,十一〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1798-1990»,«暦日0»,十二〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1798-2000»,«暦日2»,十三〳,ひのえむま,とつ,水,　,●
«1798-2010»,«暦日0»,十四〳,ひのとのひつし,たつ,,　,さい下しき くゑ日
«1798-2020»,«暦日2»,十五〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1798-2030»,«暦日0»,十六〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
