«1796-0000»,【 カンマ区切りテキスト形式です。】
«1796-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1796-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1796-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1796-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1796-0050»,【 外部リンク　】
«1796-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/243 ～ 247】
«1796-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1796h　(翻刻編集終了データを表成型して表示します)】
«1796-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1796ht (翻刻編集中データを表成型して表示します)】
«1796-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1796-0100»,«版元»,出版地○○,出版元□□□,　
«1796-2010»,«暦日2»,十六〳,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
«1796-2020»,«暦日0»,十七〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1796-2030»,«節中»,大暑六月中いの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1796-2040»,«暦日2»,十八〳,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
«1796-2050»,«暦日0»,十九〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1796-2060»,«暦日2»,廿〳,きのえむま,とつ,金,　,●
«1796-2070»,«暦日0»,廿一〳,きのとのひつし,たつ,,　,大みやう 五む日
«1796-2080»,«暦日2»,廿二〳,ひのえさる,のそく,火,　,神よし
«1796-2090»,«暦日0»,廿三〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1796-2100»,«暦日2»,廿四〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1796-2110»,«暦日0»,廿五〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1796-2120»,«暦日2»,廿六〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1796-2130»,«暦日0»,廿七〳,かのとのうし,やふる,,　,十し
«1796-2140»,«暦日2»,廿八〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1796-2150»,«暦日0»,廿九〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1796-2160»,«月序»,七月,大,建,丙申,畢宿　箕　水よう
«1796-2170»,«暦日2»,一〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1796-2180»,«暦日0»,二〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1796-2190»,«暦日2»,三〳,ひのえむま,とつ,水,　,●
«1796-2200»,«暦日0»,四〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1796-2210»,«節中»,立秋七月せつ今暁うしの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1796-2220»,«暦日2»,五〳,つちのえさる,たつ,土,　,天しや よろつよし
«1796-2230»,«暦日0»,六〳,つちのとのとり,のそく,,　,十し
«1796-2240»,«暦日2»,七〳,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
«1796-2250»,«暦日0»,八〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1796-2260»,«暦日2»,九〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1796-2270»,«暦日0»,十〳,みつのとのうし,とる,,ま日,●
«1796-2280»,«暦日2»,十一〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1796-2290»,«暦日0»,十二〳,きのとのう,あやふ,,　,わうまう  くらたて かまぬりよし
«1796-2300»,«暦日2»,十三〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1796-2310»,«暦日0»,十四〳,ひのとのみ,おさん,,　,さい下しき 月とく 大くわ ちう日  ものたちよし
«1796-2320»,«暦日2»,十五〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1796-2330»,«暦日0»,十六〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1796-2340»,«暦日2»,十七〳,かのえさる,たつ,木,　,きしく 大みやう くゑ日 ふく日 下しきみの時
«1796-2350»,«暦日0»,十八〳,かのとのとり,のそく,,　,十し
«1796-2360»,«暦日1»,十九〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1796-2370»,«節中»,処暑七月中たつの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1796-2380»,«暦日1»,廿〳,みつのとのい,たいら,水,八せんのおはり,ちう日 めつもん 地火
«1796-2390»,«暦日2»,廿一〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1796-2400»,«暦日0»,廿二〳,きのとのうし,とる,,　,●
