«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-2110»,«暦日2»,廿五〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1779-2120»,«暦日0»,廿六〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1779-2130»,«暦日2»,廿七〳,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
«1779-2140»,«暦日0»,廿八〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1779-2150»,«暦日1»,廿九〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1779-2160»,«月序»,七月,小,建,壬申,虛宿　井　木よう
«1779-2170»,«暦日1»,一〳,みつのとのひつし,とつ,木,　,天おん 母倉
«1779-2180»,«暦日2»,二〳,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
«1779-2190»,«暦日0»,三〳,きのとのとり,のそく,,　,十し
«1779-2200»,«暦日2»,四〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1779-2210»,«暦日0»,五〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1779-2220»,«暦日2»,六〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1779-2230»,«暦日0»,七〳,つちのとのうし,とる,,　,●
«1779-2240»,«暦日2»,八〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1779-2250»,«暦日0»,九〳,かのとのう,あやふ,,　,神よし
«1779-2260»,«暦日2»,十〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1779-2270»,«暦日0»,十一〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1779-2280»,«節中»,処暑七月中うの一刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1779-2290»,«暦日2»,十二〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1779-2300»,«暦日0»,十三〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1779-2310»,«暦日2»,十四〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1779-2320»,«暦日0»,十五〳,ひのとのとり,のそく,,　,十し
