《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2390》,《暦日0》,十九／,つちのとのうし,とる,,　,●
《2400》,《暦日2》,廿／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2410》,《暦日0》,廿一／,かのとのう,あやふ,,　,神よし
《2420》,《暦日2》,廿二／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2430》,《暦日0》,廿三／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2440》,《暦日2》,廿四／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2450》,《暦日0》,廿五／,きのとのひつし,とつ,,二百十日,大みやう 母倉 五む日
《2460》,《暦日2》,廿六／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2470》,《暦日0》,廿七／,ひのとのとり,のそく,,　,十し
《2480》,《暦日2》,廿八／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2490》,《暦日0》,廿九／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2500》,《月序》,八月,小,建,癸酉,軫宿　畢　月よう
《2510》,《暦日2》,一／,かのえね,さたん,土,　,神よし ふく日
《2520》,《暦日0》,二／,かのとのうし,とる,,　,●
《2530》,《暦日1》,三／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2540》,《節中》,白露八月せつ今暁九時四分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2550》,《暦日1》,四／,みつのとのう,やふる,金,　, くらたて 田かりよし
《2560》,《暦日2》,五／,きのえたつ,あやふ,火,　,きしく 大みやう 母倉  けんふく わたましよし
《2570》,《暦日0》,六／,きのとのみ,なる,,二百廿日,十し
《2580》,《暦日2》,七／,ひのえむま,おさん,水,　,さい下しき 大みやう めつもん
《2590》,《暦日0》,八／,ひのとのひつし,ひらく,,　,●
《2600》,《暦日2》,九／,つちのえさる,とつ,土,　,天しや よろつよし
《2610》,《暦日0》,十／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2620》,《暦日2》,十一／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2630》,《暦日0》,十二／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2640》,《暦日2》,十三／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2650》,《暦日0》,十四／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2660》,《暦日2》,十五／,きのえとら,とる,水,ひかんニなる,きこ  かまぬり 田かり  つめとりよし
《2670》,《暦日0》,十六／,きのとのう,やふる,,　,くゑ日 ふく日
《2680》,《暦日2》,十七／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2690》,《暦日0》,十八／,ひのとのみ,なる,,　,十し
《2700》,《節中》,秋分八月中朝四時日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2710》,《暦日2》,十九／,つちのえむま,おさん,火,ま日/社日,めつもん
《2720》,《暦日0》,廿／,つちのとのひつし,ひらく,,　,●
《2730》,《暦日2》,廿一／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2740》,《暦日0》,廿二／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2750》,《暦日2》,廿三／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2760》,《暦日0》,廿四／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2770》,《暦日2》,廿五／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2780》,《暦日0》,廿六／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2790》,《暦日2》,廿七／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2800》,《暦日0》,廿八／,ひのとのう,やふる,,　,天おん  田かりよし
《2810》,《暦日1》,廿九／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2820》,《月序》,九月,大,建,甲戌,角宿　觜　火よう
《2830》,《暦日1》,一／,つちのとのみ,なる,木,　,十し
《2840》,《暦日2》,二／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2850》,《暦日0》,三／,かのとのひつし,ひらく,,　,●
《2860》,《暦日1》,四／,みつのえさる,ひらく,金,　,きしく 大みやう  むきまきよし
《2870》,《節中》,寒露九月せつ昼八時七分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2880》,《暦日1》,五／,みつのとのとり,とつ,金,　,神よし 大みやう
《2890》,《暦日2》,六／,きのえいぬ,たつ,火,　,くゑ日
《2900》,《暦日0》,七／,きのとのい,のそく,,　,ちう日  田かりよし
《2910》,《暦日2》,八／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《2920》,《暦日0》,九／,ひのとのうし,たいら,,　,十し
《2930》,《暦日2》,十／,つちのえとら,さたん,土,　,●
