«1762-0000»,【 カンマ区切りテキスト形式です。】
«1762-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1762-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1762-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1762-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1762-0050»,【 外部リンク　】
«1762-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/82 ～ 86】
«1762-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1762h　(翻刻編集終了データを表成型して表示します)】
«1762-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1762ht (翻刻編集中データを表成型して表示します)】
«1762-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1762-0100»,«版元»,出版地○○,出版元□□□,　
«1762-1750»,«暦日0»,廿二〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1762-1760»,«暦日2»,廿三〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1762-1770»,«暦日0»,廿四〳,ひのとのみ,とつ,,　,十し
«1762-1780»,«暦日2»,廿五〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1762-1790»,«暦日0»,廿六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1762-1800»,«暦日2»,廿七〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1762-1810»,«暦日0»,廿八〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1762-1820»,«暦日1»,廿九〳,みつのえいぬ,さたん,水,ま日,わうまう  むきかりよし
«1762-1830»,«月序»,五月,小,建,丙午,角宿　尾　火よう
«1762-1840»,«暦日1»,一〳,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
«1762-1850»,«節中»,夏至五月中今暁うしの五刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1762-1860»,«暦日2»,二〳,きのえね,やふる,金,　,●
«1762-1870»,«暦日0»,三〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1762-1880»,«暦日2»,四〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1762-1890»,«暦日0»,五〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1762-1900»,«暦日2»,六〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1762-1910»,«暦日0»,七〳,つちのとのみ,とつ,,　,十し
«1762-1920»,«暦日2»,八〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1762-1930»,«暦日0»,九〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1762-1940»,«暦日2»,十〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1762-1950»,«暦日0»,十一〳,みつのとのとり,たいら,,はんけしやう,神よし 大みやう ふく日 めつもん 地火
«1762-1960»,«暦日2»,十二〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1762-1970»,«暦日0»,十三〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1762-1980»,«暦日2»,十四〳,ひのえね,やふる,水,　,●
«1762-1990»,«暦日0»,十五〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1762-2000»,«暦日1»,十六〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1762-2010»,«節中»,小暑六月せつたつの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1762-2020»,«暦日1»,十七〳,つちのとのう,なる,土,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1762-2030»,«暦日2»,十八〳,かのえたつ,おさん,金,　,きしく 天おん めつもん  けんふくよし
«1762-2040»,«暦日0»,十九〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1762-2050»,«暦日2»,廿〳,みつのえむま,とつ,木,　,●
«1762-2060»,«暦日0»,廿一〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1762-2070»,«暦日2»,廿二〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1762-2080»,«暦日0»,廿三〳,きのとのとり,みつ,,　,神よし ちいみ
«1762-2090»,«暦日2»,廿四〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1762-2100»,«暦日0»,廿五〳,ひのとのい,さたん,,　,大みやう ちう日
«1762-2110»,«暦日2»,廿六〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1762-2120»,«暦日0»,廿七〳,つちのとのうし,やふる,,　,十し
