《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/115 ～ 124
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1729g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1729h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2140》,《暦日1》,廿七／,かのえね,とる,土,中伏,きしく きこ 下しきたつの時
《2150》,《節中》,大暑六月中ひつしの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2160》,《暦日1》,廿八／,かのとのうし,やふる,土,　,十し
《2170》,《暦日2》,廿九／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2180》,《暦日0》,卅／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2190》,《月序》,七月,小,建,壬申,翼宿　翼　火よう
《2200》,《暦日2》,一／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《2210》,《暦日0》,二／,きのとのみ,ひらく,,　,大みやう ちう日
《2220》,《暦日2》,三／,ひのえむま,とつ,水,　,●
《2230》,《暦日0》,四／,ひのとのひつし,たつ,,　,くゑ日
《2240》,《暦日2》,五／,つちのえさる,のそく,土,　,ふく日 わうまう  たねまきよし
《2250》,《暦日0》,六／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《2260》,《暦日2》,七／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《2270》,《暦日0》,八／,かのとのい,さたん,,　,大みやう ちう日
《2280》,《暦日2》,九／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《2290》,《暦日0》,十／,みつのとのうし,やふる,,ま日,十し
《2300》,《暦日2》,十一／,きのえとら,あやふ,水,　, やたて  つめとりよし
《2310》,《暦日0》,十二／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2320》,《節中》,立秋七月せついぬの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2330》,《暦日2》,十三／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2340》,《暦日0》,十四／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《2350》,《暦日2》,十五／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2360》,《暦日0》,十六／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《2370》,《暦日2》,十七／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2380》,《暦日0》,十八／,かのとのとり,のそく,,　,十し
《2390》,《暦日2》,十九／,みつのえいぬ,みつ,水,ま日
《2400》,《暦日0》,廿／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火 わうまう
《2410》,《暦日2》,廿一／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2420》,《暦日0》,廿二／,きのとのうし,とる,,　,●
《2430》,《暦日2》,廿三／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2440》,《暦日0》,廿四／,ひのとのう,あやふ,,　,神よし  わたましよし
《2450》,《暦日2》,廿五／,つちのえたつ,なる,木,　,きしく 五む日 ちいみ  いちたちよし
《2460》,《暦日0》,廿六／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2470》,《暦日2》,廿七／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2480》,《暦日0》,廿八／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2490》,《節中》,処暑七月中うしの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2500》,《暦日1》,廿九／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2510》,《月序》,八月,大,建,癸酉,軫宿　軫　水よう
《2520》,《暦日1》,一／,みつのとのとり,のそく,金,　,十し
《2530》,《暦日2》,二／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2540》,《暦日0》,三／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2550》,《暦日2》,四／,ひのえね,さたん,水,　, 田かりよし
《2560》,《暦日0》,五／,ひのとのうし,とる,,　,●
《2570》,《暦日2》,六／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2580》,《暦日0》,七／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《2590》,《暦日2》,八／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《2600》,《暦日0》,九／,かのとのみ,おさん,,　,大くわ ちう日
《2610》,《暦日2》,十／,みつのえむま,ひらく,木,二百十日,神よし 大みやう 天火 らうしやく
《2620》,《暦日0》,十一／,みつのとのひつし,とつ,,　
《2630》,《暦日2》,十二／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2640》,《暦日0》,十三／,きのとのとり,のそく,,　,十し
《2650》,《暦日1》,十四／,ひのえいぬ,のそく,土,　,さい下しき 五む日 ちいみ
《2660》,《節中》,白露八月せつうの六刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2670》,《暦日1》,十五／,ひのとのい,みつ,土,　,大みやう ちう日  入学よし
《2680》,《暦日2》,十六／,つちのえね,たいら,火,　,大くわ 地火
