《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/97 ～ 101
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1710g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1710h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2260》,《暦日2》,廿一／,きのえさる,たつ,水,十方くれニ入,きしく 大みやう ふく日 わうまう 下しきみの時
《2270》,《暦日0》,廿二／,きのとのとり,のそく,,　,十し
《2280》,《暦日2》,廿三／,ひのえいぬ,みつ,土,　,五む日
《2290》,《暦日0》,廿四／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《2300》,《暦日2》,廿五／,つちのえね,さたん,火,　, けんふく くさかりよし
《2310》,《暦日0》,廿六／,つちのとのうし,とる,,　,●
《2320》,《暦日2》,廿七／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2330》,《暦日0》,廿八／,かのとのう,あやふ,,七月中むまの初刻,神よし
《2340》,《暦日2》,廿九／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《2350》,《暦日0》,卅／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2360》,《月序》,八月,小,建,乙酉,柳宿　心　月よう
《2370》,《暦日2》,一／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2380》,《暦日0》,二／,きのとのひつし,とつ,,　,大みやう 五む日
《2390》,《暦日2》,三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2400》,《暦日0》,四／,ひのとのとり,のそく,,　,十し
《2410》,《暦日2》,五／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《2420》,《暦日0》,六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2430》,《暦日2》,七／,かのえね,さたん,土,　,神よし ふく日
《2440》,《暦日0》,八／,かのとのうし,とる,,　,●
《2450》,《暦日2》,九／,みつのえとら,やふる,金,二百十日,大みやう  やたて  つめとりよし
《2460》,《暦日0》,十／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2470》,《暦日2》,十一／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
