«1723-0000»,【 カンマ区切りテキスト形式です。】
«1723-2210»,«暦日0»,十六〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1723-2220»,«暦日2»,十七〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1723-2230»,«暦日0»,十八〳,きのとのひつし,とつ,,　,大みやう 五む日
«1723-2240»,«暦日2»,十九〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1723-2250»,«暦日0»,廿〳,ひのとのとり,のそく,,　,十し
«1723-2260»,«暦日2»,廿一〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1723-2270»,«暦日0»,廿二〳,つちのとのい,たいら,,七月中ひつしの六刻,神よし ちう日 めつもん 地火
«1723-2280»,«暦日2»,廿三〳,かのえね,さたん,土,　,神よし ふく日
«1723-2290»,«暦日0»,廿四〳,かのとのうし,とる,,　,●
«1723-2300»,«暦日2»,廿五〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1723-2310»,«暦日0»,廿六〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1723-2320»,«暦日2»,廿七〳,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
«1723-2330»,«暦日0»,廿八〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1723-2340»,«暦日2»,廿九〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1723-2350»,«暦日0»,卅〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1723-2360»,«月序»,八月,小,建,辛酉,危宿　翼　火よう
«1723-2370»,«暦日2»,一〳,つちのえさる,たつ,土,　,天しや よろつよし
«1723-2380»,«暦日0»,二〳,つちのとのとり,のそく,,　,十し
«1723-2390»,«暦日2»,三〳,かのえいぬ,みつ,金,二百十日,大みやう ふく日
«1723-2400»,«暦日0»,四〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1723-2410»,«暦日2»,五〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1723-2420»,«暦日0»,六〳,みつのとのうし,とる,,ま日,●
«1723-2430»,«暦日2»,七〳,きのえとら,とる,水,八月せついぬの三刻ニ入,きこ  かまぬり 田かり  つめとりよし
«1723-2440»,«暦日0»,八〳,きのとのう,やふる,,　,くゑ日 ふく日
«1723-2450»,«暦日2»,九〳,ひのえたつ,あやふ,土,ま日,大みやう
«1723-2460»,«暦日0»,十〳,ひのとのみ,なる,,　,十し
«1723-2470»,«暦日2»,十一〳,つちのえむま,おさん,火,ま日,めつもん
«1723-2480»,«暦日0»,十二〳,つちのとのひつし,ひらく,,　,●
«1723-2490»,«暦日2»,十三〳,かのえさる,とつ,木,二百廿日,神よし 大みやう  入学よし
«1723-2500»,«暦日0»,十四〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1723-2510»,«暦日2»,十五〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1723-2520»,«暦日0»,十六〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1723-2530»,«暦日2»,十七〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1723-2540»,«暦日0»,十八〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1723-2550»,«暦日2»,十九〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1723-2560»,«暦日0»,廿〳,ひのとのう,やふる,,　, 田かりよし
«1723-2570»,«暦日2»,廿一〳,つちのえたつ,あやふ,木,社日,五む日  みそすつくりよし
«1723-2580»,«暦日0»,廿二〳,つちのとのみ,なる,,　,十し
«1723-2590»,«暦日2»,廿三〳,かのえむま,おさん,土,秋分八月中うしの初刻,めつもん  竹木こりよし
«1723-2600»,«暦日0»,廿四〳,かのとのひつし,ひらく,,　,●
«1723-2610»,«暦日2»,廿五〳,みつのえさる,とつ,金,ひかんニなる,神よし きしく 大みやう
«1723-2620»,«暦日0»,廿六〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1723-2630»,«暦日2»,廿七〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1723-2640»,«暦日0»,廿八〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1723-2650»,«暦日1»,廿九〳,ひのえね,たいら,水,　,大くわ 地火
«1723-2660»,«月序»,九月,大,建,壬戌,室宿　軫　水よう
«1723-2670»,«暦日1»,一〳,ひのとのうし,さたん,水,　,神よし 大みやう  ものたち  つめとりよし
«1723-2680»,«暦日2»,二〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1723-2690»,«暦日0»,三〳,つちのとのう,やふる,,　,大みやう
«1723-2700»,«暦日2»,四〳,かのえたつ,あやふ,金,　
«1723-2710»,«暦日0»,五〳,かのとのみ,なる,,　,十し
«1723-2720»,«暦日2»,六〳,みつのえむま,おさん,木,　,大みやう めつもん
«1723-2730»,«暦日0»,七〳,みつのとのひつし,ひらく,,　,●
«1723-2740»,«暦日2»,八〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1723-2750»,«暦日0»,九〳,きのとのとり,とつ,,かん露九月せつうの五刻ニ入,神よし  田かりよし
«1723-2760»,«暦日2»,十〳,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
«1723-2770»,«暦日0»,十一〳,ひのとのい,のそく,,　,大みやう ちう日
«1723-2780»,«暦日2»,十二〳,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
«1723-2790»,«暦日0»,十三〳,つちのとのうし,たいら,,　,十し
«1723-2800»,«暦日2»,十四〳,かのえとら,さたん,木,　,●
«1723-2810»,«暦日0»,十五〳,かのとのう,とる,,　,くゑ日
«1723-2820»,«暦日2»,十六〳,みつのえたつ,やふる,水,　,さい下しき 大みやう 五む日 くゑ日
«1723-2830»,«暦日0»,十七〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
«1723-2840»,«暦日2»,十八〳,きのえむま,なる,金,　,くゑ日
«1723-2850»,«暦日0»,十九〳,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
«1723-2860»,«暦日2»,廿〳,ひのえさる,ひらく,火,　,くゑ日
«1723-2870»,«暦日0»,廿一〳,ひのとのとり,とつ,,とようみの六刻ニ入,くゑ日
«1723-2880»,«暦日2»,廿二〳,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
«1723-2890»,«暦日0»,廿三〳,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
«1723-2900»,«暦日2»,廿四〳,かのえね,みつ,土,九月中むまの二刻,神よし きしく きこ 天火 らうしやく
«1723-2910»,«暦日0»,廿五〳,かのとのうし,たいら,,　,十し
«1723-2920»,«暦日2»,廿六〳,みつのえとら,さたん,金,　,●
