«1714-0000»,【 カンマ区切りテキスト形式です。】
«1714-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1714-2070»,«暦日0»,四〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1714-2080»,«暦日2»,五〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1714-2090»,«暦日0»,六〳,きのとのみ,おさん,,　,大みやう 大くわ ちう日 わうまう  けんふくよし
«1714-2100»,«暦日2»,七〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1714-2110»,«暦日0»,八〳,ひのとのひつし,とつ,,　,さい下しき 神よし  いちたちよし
«1714-2120»,«暦日2»,九〳,つちのえさる,たつ,土,　,天しや よろつよし
«1714-2130»,«暦日0»,十〳,つちのとのとり,のそく,,　,十し
«1714-2140»,«暦日2»,十一〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1714-2150»,«暦日0»,十二〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1714-2160»,«暦日2»,十三〳,みつのえね,さたん,木,七月中みの五刻|八せんのはしめ,神よし  くらたてよし
«1714-2170»,«暦日0»,十四〳,みつのとのうし,とる,,ま日,●
«1714-2180»,«暦日2»,十五〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1714-2190»,«暦日0»,十六〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1714-2200»,«暦日2»,十七〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1714-2210»,«暦日0»,十八〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1714-2220»,«暦日2»,十九〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1714-2230»,«暦日0»,廿〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1714-2240»,«暦日2»,廿一〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1714-2250»,«暦日0»,廿二〳,かのとのとり,のそく,,　,十し
«1714-2260»,«暦日2»,廿三〳,みつのえいぬ,みつ,水,ま日
«1714-2270»,«暦日0»,廿四〳,みつのとのい,たいら,,二百十日|八せんのおはり,ちう日 めつもん 地火
«1714-2280»,«暦日2»,廿五〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1714-2290»,«暦日0»,廿六〳,きのとのうし,とる,,　,●
«1714-2300»,«暦日2»,廿七〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1714-2310»,«暦日0»,廿八〳,ひのとのう,やふる,,八月せつさるの二刻ニ入, 田かりよし
«1714-2320»,«暦日2»,廿九〳,つちのえたつ,あやふ,木,　,きしく 五む日  みそすつくりよし
«1714-2330»,«暦日0»,卅〳,つちのとのみ,なる,,　,十し
«1714-2340»,«月序»,八月,大,建,癸酉,婁宿　星　日よう
«1714-2350»,«暦日2»,一〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1714-2360»,«暦日0»,二〳,かのとのひつし,ひらく,,　,●
«1714-2370»,«暦日2»,三〳,みつのえさる,とつ,金,　,神よし 大みやう
«1714-2380»,«暦日0»,四〳,みつのとのとり,たつ,,二百廿日,大みやう 天火 らうしやく 下しきむまの時
«1714-2390»,«暦日2»,五〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1714-2400»,«暦日0»,六〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1714-2410»,«暦日2»,七〳,ひのえね,たいら,水,　,大くわ 地火
«1714-2420»,«暦日0»,八〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1714-2430»,«暦日2»,九〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1714-2440»,«暦日0»,十〳,つちのとのう,やふる,,　,大みやう
«1714-2450»,«暦日2»,十一〳,かのえたつ,あやふ,金,　
«1714-2460»,«暦日0»,十二〳,かのとのみ,なる,,　,十し
«1714-2470»,«暦日2»,十三〳,みつのえむま,おさん,木,秋分八月中いぬの七刻,大みやう めつもん
«1714-2480»,«暦日0»,十四〳,みつのとのひつし,ひらく,,　,●
«1714-2490»,«暦日2»,十五〳,きのえさる,とつ,水,ひかんニなる|十方くれニ入,大みやう わうまう  竹木こり 田かりよし
«1714-2500»,«暦日0»,十六〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1714-2510»,«暦日2»,十七〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1714-2520»,«暦日0»,十八〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1714-2530»,«暦日2»,十九〳,つちのえね,たいら,火,　,大くわ 地火
«1714-2540»,«暦日0»,廿〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1714-2550»,«暦日2»,廿一〳,かのえとら,とる,木,　,きこ  つめとりよし
«1714-2560»,«暦日0»,廿二〳,かのとのう,やふる,,　,ふく日  田かりよし
«1714-2570»,«暦日2»,廿三〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1714-2580»,«暦日0»,廿四〳,みつのとのみ,なる,,天一天上,十し
«1714-2590»,«暦日2»,廿五〳,きのえむま,おさん,金,　,めつもん
«1714-2600»,«暦日0»,廿六〳,きのとのひつし,ひらく,,　,●
«1714-2610»,«暦日2»,廿七〳,ひのえさる,とつ,火,　,神よし きしく
«1714-2620»,«暦日0»,廿八〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1714-2630»,«暦日2»,廿九〳,つちのえいぬ,たつ,木,かん露九月せつうしの四刻ニ入,くゑ日 ふく日  田かりよし
«1714-2640»,«暦日0»,卅〳,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
«1714-2650»,«月序»,九月,小,建,甲戌,胃宿　翼　火よう
«1714-2660»,«暦日2»,一〳,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
«1714-2670»,«暦日0»,二〳,かのとのうし,たいら,,　,十し
«1714-2680»,«暦日2»,三〳,みつのえとら,さたん,金,　,●
«1714-2690»,«暦日0»,四〳,みつのとのう,とる,,　,神よし  けんふく かといてよし
«1714-2700»,«暦日2»,五〳,きのえたつ,やふる,火,　,大みやう
«1714-2710»,«暦日0»,六〳,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
«1714-2720»,«暦日2»,七〳,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
«1714-2730»,«暦日0»,八〳,ひのとのひつし,おさん,,　,さい下しき 神よし 大くわ  田かりよし
«1714-2740»,«暦日2»,九〳,つちのえさる,ひらく,土,　,天しや よろつよし
«1714-2750»,«暦日0»,十〳,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
«1714-2760»,«暦日2»,十一〳,かのえいぬ,たつ,金,とよううの五刻ニ入,大みやう くゑ日
«1714-2770»,«暦日0»,十二〳,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
«1714-2780»,«暦日2»,十三〳,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
«1714-2790»,«暦日0»,十四〳,みつのとのうし,たいら,,九月中たつの一刻|ま日,十し
«1714-2800»,«暦日2»,十五〳,きのえとら,さたん,水,　,●
«1714-2810»,«暦日0»,十六〳,きのとのう,とる,,　,神よし  かまぬり ものたちよし
«1714-2820»,«暦日2»,十七〳,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
«1714-2830»,«暦日0»,十八〳,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
«1714-2840»,«暦日2»,十九〳,つちのえむま,なる,火,ま日,神よし ふく日
«1714-2850»,«暦日0»,廿〳,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
«1714-2860»,«暦日2»,廿一〳,かのえさる,ひらく,木,　,大みやう
«1714-2870»,«暦日0»,廿二〳,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
