«1860-0000»,【 カンマ区切りテキスト形式です。】
«1860-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1860-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1860-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1860-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1860-0050»,【 外部リンク　】
«1860-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/64 ～ 73】
«1860-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1860h　(翻刻編集終了データを表成型して表示します)】
«1860-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1860ht (翻刻編集中データを表成型して表示します)】
«1860-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1860-0100»,«版元»,出版地○○,出版元□□□,　
«1860-1970»,«暦日2»,十三〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1860-1980»,«暦日0»,十四〳,ひのとのひつし,のそく,,はんけしやう,神よし ふく日
«1860-1990»,«暦日2»,十五〳,つちのえさる,みつ,土,　,神よし  入学よし
«1860-2000»,«暦日0»,十六〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1860-2010»,«暦日2»,十七〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1860-2020»,«暦日0»,十八〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1860-2030»,«暦日1»,十九〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1860-2040»,«節中»,小暑六月せつ朝五時六分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1860-2050»,«暦日1»,廿〳,みつのとのうし,やふる,木,ま日,十し
«1860-2060»,«暦日2»,廿一〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1860-2070»,«暦日0»,廿二〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1860-2080»,«暦日2»,廿三〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1860-2090»,«暦日0»,廿四〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1860-2100»,«暦日2»,廿五〳,つちのえむま,とつ,火,ま日,●
«1860-2110»,«暦日0»,廿六〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1860-2120»,«暦日2»,廿七〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1860-2130»,«暦日0»,廿八〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1860-2140»,«暦日1»,廿九〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1860-2150»,«月序»,六月,大,建,癸未,亢宿　壁　水よう
«1860-2160»,«暦日1»,一〳,みつのとのい,さたん,水,八せんのおはり,ちう日
«1860-2170»,«暦日2»,二〳,きのえね,とる,金,とよう昼九時四分ニ入,天おん 月とく きこ 下しきたつの時
«1860-2180»,«暦日0»,三〳,きのとのうし,やふる,,　,十し
«1860-2190»,«暦日2»,四〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1860-2200»,«暦日0»,五〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1860-2210»,«暦日1»,六〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
