《1748-0000》,# カンマ区切りテキスト形式です。
《1748-2790》,《暦日1》,廿八／,かのえたつ,あやふ,金,　,きしく
《1748-2800》,《節中》,秋分八月中翌うしの四刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1748-2810》,《暦日1》,廿九／,かのとのみ,なる,金,　,十し
《1748-2820》,《暦日1》,卅／,みつのえむま,おさん,木,　,大みやう めつもん わうまう
《1748-2830》,《月序》,九月,小,建,壬戌,心宿　張　月よう
《1748-2840》,《暦日1》,一／,みつのとのひつし,ひらく,木,ひかんニなる,●
《1748-2850》,《暦日2》,二／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1748-2860》,《暦日0》,三／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1748-2870》,《暦日2》,四／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1748-2880》,《暦日0》,五／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1748-2890》,《暦日2》,六／,つちのえね,たいら,火,　,大くわ 地火
《1748-2900》,《暦日0》,七／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
