《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2240》,《暦日0》,七／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2250》,《暦日2》,八／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2260》,《暦日0》,九／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2270》,《暦日2》,十／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2280》,《暦日0》,十一／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2290》,《暦日2》,十二／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2300》,《暦日0》,十三／,みつのとのとり,のそく,,　,十し
《2310》,《暦日2》,十四／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2320》,《暦日0》,十五／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2330》,《暦日2》,十六／,ひのえね,さたん,水,　, 田かりよし
《2340》,《暦日0》,十七／,ひのとのうし,とる,,　,●
《2350》,《暦日2》,十八／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2360》,《暦日0》,十九／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2370》,《暦日1》,廿／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2380》,《節中》,処暑七月中みの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2390》,《暦日1》,廿一／,かのとのみ,おさん,金,　,天おん 大くわ ちう日
《2400》,《暦日2》,廿二／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2410》,《暦日0》,廿三／,みつのとのひつし,とつ,,　,天おん 母倉
