«1803-0000»,【 カンマ区切りテキスト形式です。】
«1803-1550»,«暦日2»,四〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1803-1560»,«暦日0»,五〳,つちのとのみ,たつ,,　,●
«1803-1570»,«暦日2»,六〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1803-1580»,«暦日0»,七〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1803-1590»,«暦日2»,八〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1803-1600»,«暦日0»,九〳,みつのとのとり,さたん,,　,十し
«1803-1610»,«暦日2»,十〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1803-1620»,«暦日0»,十一〳,きのとのい,やふる,,　,月とく ちう日
«1803-1630»,«暦日2»,十二〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1803-1640»,«暦日0»,十三〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1803-1650»,«暦日2»,十四〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1803-1660»,«暦日0»,十五〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1803-1670»,«暦日2»,十六〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1803-1680»,«暦日0»,十七〳,かのとのみ,たつ,,　,●
«1803-1690»,«暦日1»,十八〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1803-1700»,«節中»,芒種五月せつ今夜ねの一刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1803-1710»,«暦日1»,十九〳,みつのとのひつし,のそく,木,　,天おん ふく日  田うへよし
«1803-1720»,«暦日2»,廿〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1803-1730»,«暦日0»,廿一〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1803-1740»,«暦日2»,廿二〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1803-1750»,«暦日0»,廿三〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1803-1760»,«暦日2»,廿四〳,つちのえね,やふる,火,　,●
«1803-1770»,«暦日0»,廿五〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1803-1780»,«暦日2»,廿六〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1803-1790»,«暦日0»,廿七〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1803-1800»,«暦日2»,廿八〳,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
«1803-1810»,«暦日0»,廿九〳,みつのとのみ,とつ,,天一天上,十し
«1803-1820»,«月序»,五月,大,建,戊午,胃宿　星　日よう
«1803-1830»,«暦日2»,一〳,きのえむま,たつ,金,　,天しや よろつよし
«1803-1840»,«暦日0»,二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1803-1850»,«暦日2»,三〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1803-1860»,«暦日0»,四〳,ひのとのとり,たいら,,　,ふく日 めつもん 地火 わうまう
«1803-1870»,«暦日1»,五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1803-1880»,«節中»,夏至五月中今暁とらの六刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1803-1890»,«暦日1»,六〳,つちのとのい,とる,木,　,神よし ちう日
«1803-1900»,«暦日2»,七〳,かのえね,やふる,土,　,●
«1803-1910»,«暦日0»,八〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1803-1920»,«暦日2»,九〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1803-1930»,«暦日0»,十〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1803-1940»,«暦日2»,十一〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1803-1950»,«暦日0»,十二〳,きのとのみ,とつ,,　,十し
«1803-1960»,«暦日2»,十三〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1803-1970»,«暦日0»,十四〳,ひのとのひつし,のそく,,　,神よし ふく日
«1803-1980»,«暦日2»,十五〳,つちのえさる,みつ,土,はんけしやう,神よし  入学よし
«1803-1990»,«暦日0»,十六〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1803-2000»,«暦日2»,十七〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1803-2010»,«暦日0»,十八〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1803-2020»,«暦日2»,十九〳,みつのえね,やふる,木,八せんのはしめ,●
«1803-2030»,«暦日0»,廿〳,みつのとのうし,やふる,,ま日,十し
«1803-2040»,«節中»,小暑六月せつみの三刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1803-2050»,«暦日2»,廿一〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1803-2060»,«暦日0»,廿二〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1803-2070»,«暦日2»,廿三〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1803-2080»,«暦日0»,廿四〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1803-2090»,«暦日2»,廿五〳,つちのえむま,とつ,火,ま日,●
«1803-2100»,«暦日0»,廿六〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1803-2110»,«暦日2»,廿七〳,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
«1803-2120»,«暦日0»,廿八〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1803-2130»,«暦日2»,廿九〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1803-2140»,«暦日0»,卅〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1803-2150»,«月序»,六月,小,建,己未,昴宿　翼　火よう
«1803-2160»,«暦日2»,一〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1803-2170»,«暦日0»,二〳,きのとのうし,やふる,,とようひつしの三刻ニ入,十し
«1803-2180»,«暦日2»,三〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1803-2190»,«暦日0»,四〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1803-2200»,«暦日1»,五〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1803-2210»,«節中»,大暑六月中ひつしの八刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1803-2220»,«暦日1»,六〳,つちのとのみ,ひらく,木,　,くゑ日 ちう日 ふく日
«1803-2230»,«暦日2»,七〳,かのえむま,とつ,土,中伏,●
«1803-2240»,«暦日0»,八〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1803-2250»,«暦日2»,九〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1803-2260»,«暦日0»,十〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1803-2270»,«暦日2»,十一〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1803-2280»,«暦日0»,十二〳,きのとのい,さたん,,　,ちう日
«1803-2290»,«暦日2»,十三〳,ひのえね,とる,水,　,きこ わうまう 下しきたつの時
«1803-2300»,«暦日0»,十四〳,ひのとのうし,やふる,,　,十し
«1803-2310»,«暦日2»,十五〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1803-2320»,«暦日0»,十六〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1803-2330»,«暦日2»,十七〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1803-2340»,«暦日0»,十八〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1803-2350»,«暦日2»,十九〳,みつのえむま,とつ,木,　,●
«1803-2360»,«暦日0»,廿〳,みつのとのひつし,とつ,,　,天おん 母倉
«1803-2370»,«節中»,立秋七月せついぬの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1803-2380»,«暦日2»,廿一〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1803-2390»,«暦日0»,廿二〳,きのとのとり,のそく,,　,十し
«1803-2400»,«暦日2»,廿三〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1803-2410»,«暦日0»,廿四〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1803-2420»,«暦日2»,廿五〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
«1803-2430»,«暦日0»,廿六〳,つちのとのうし,とる,,　,●
«1803-2440»,«暦日2»,廿七〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1803-2450»,«暦日0»,廿八〳,かのとのう,あやふ,,　,わうまう
«1803-2460»,«暦日1»,廿九〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1803-2470»,«月序»,七月,大,建,庚申,畢宿　軫　水よう
«1803-2480»,«暦日1»,一〳,みつのとのみ,おさん,水,天一天上,大くわ ちう日  たねまきよし
«1803-2490»,«暦日2»,二〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1803-2500»,«暦日0»,三〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1803-2510»,«暦日2»,四〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1803-2520»,«暦日0»,五〳,ひのとのとり,のそく,,　,十し
«1803-2530»,«暦日2»,六〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1803-2540»,«暦日0»,七〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1803-2550»,«節中»,処暑七月中今暁うしの一刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1803-2560»,«暦日2»,八〳,かのえね,さたん,土,　,さい下しき 神よし ふく日
«1803-2570»,«暦日0»,九〳,かのとのうし,とる,,　,●
«1803-2580»,«暦日2»,十〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1803-2590»,«暦日0»,十一〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1803-2600»,«暦日2»,十二〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1803-2610»,«暦日0»,十三〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1803-2620»,«暦日2»,十四〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1803-2630»,«暦日0»,十五〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1803-2640»,«暦日2»,十六〳,つちのえさる,たつ,土,　,天しや よろつよし
«1803-2650»,«暦日0»,十七〳,つちのとのとり,のそく,,　,十し
«1803-2660»,«暦日2»,十八〳,かのえいぬ,みつ,金,二百十日,大みやう 天おん 母倉 ふく日
«1803-2670»,«暦日0»,十九〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1803-2680»,«暦日2»,廿〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1803-2690»,«暦日0»,廿一〳,みつのとのうし,とる,,ま日,●
«1803-2700»,«暦日1»,廿二〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1803-2710»,«節中»,白露八月せつうの七刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
