«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-1960»,«暦日0»,十一〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1783-1970»,«暦日2»,十二〳,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
«1783-1980»,«暦日0»,十三〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1783-1990»,«暦日2»,十四〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1783-2000»,«暦日0»,十五〳,きのとのい,さたん,,　,ちう日
«1783-2010»,«暦日2»,十六〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1783-2020»,«暦日0»,十七〳,ひのとのうし,やふる,,　,十し
«1783-2030»,«暦日2»,十八〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1783-2040»,«暦日0»,十九〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1783-2050»,«暦日2»,廿〳,かのえたつ,おさん,金,初伏|とようさるの八刻ニ入,天おん めつもん  けんふくよし
«1783-2060»,«暦日0»,廿一〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1783-2070»,«暦日2»,廿二〳,みつのえむま,とつ,木,　,●
«1783-2080»,«暦日0»,廿三〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1783-2090»,«節中»,大暑六月中とりの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1783-2100»,«暦日2»,廿四〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1783-2110»,«暦日0»,廿五〳,きのとのとり,みつ,,　,神よし ちいみ
«1783-2120»,«暦日2»,廿六〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1783-2130»,«暦日0»,廿七〳,ひのとのい,さたん,,　,大みやう ちう日
«1783-2140»,«暦日2»,廿八〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1783-2150»,«暦日0»,廿九〳,つちのとのうし,やふる,,　,十し
«1783-2160»,«月序»,七月,大,建,庚申,氐宿　室　火よう
«1783-2170»,«暦日2»,一〳,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
