«1707-0000»,【 カンマ区切りテキスト形式です。】
«1707-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1707-1740»,«暦日2»,一〳,みつのえむま,たつ,木,　,大みやう 下しきうの時
«1707-1750»,«暦日0»,二〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1707-1760»,«暦日2»,三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1707-1770»,«暦日0»,四〳,きのとのとり,たいら,,はんけしやう,神よし めつもん 地火
«1707-1780»,«暦日2»,五〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1707-1790»,«暦日0»,六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1707-1800»,«暦日2»,七〳,つちのえね,やふる,火,　,●
«1707-1810»,«暦日0»,八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1707-1820»,«暦日2»,九〳,かのえとら,あやふ,木,六月せつうしの四刻ニ入, やたて  つめとりよし
«1707-1830»,«暦日0»,十〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1707-1840»,«暦日2»,十一〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1707-1850»,«暦日0»,十二〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1707-1860»,«暦日2»,十三〳,きのえむま,とつ,金,　,●
«1707-1870»,«暦日0»,十四〳,きのとのひつし,たつ,,　,大みやう 五む日
«1707-1880»,«暦日2»,十五〳,ひのえさる,のそく,火,　,神よし
«1707-1890»,«暦日0»,十六〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1707-1900»,«暦日2»,十七〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1707-1910»,«暦日0»,十八〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1707-1920»,«暦日2»,十九〳,かのえね,とる,土,初伏,さい下しき きこ 下しきたつの時
«1707-1930»,«暦日0»,廿〳,かのとのうし,やふる,,　,十し
«1707-1940»,«暦日2»,廿一〳,みつのえとら,あやふ,金,とよううの五刻ニ入,大みやう  けんふく  つめとりよし
«1707-1950»,«暦日0»,廿二〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1707-1960»,«暦日2»,廿三〳,きのえたつ,おさん,火,　,きしく 大みやう めつもん  わたましよし
«1707-1970»,«暦日0»,廿四〳,きのとのみ,ひらく,,六月中たつの一刻,大みやう ちう日
«1707-1980»,«暦日2»,廿五〳,ひのえむま,とつ,水,　,●
«1707-1990»,«暦日0»,廿六〳,ひのとのひつし,たつ,,　,くゑ日
«1707-2000»,«暦日2»,廿七〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1707-2010»,«暦日0»,廿八〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1707-2020»,«暦日1»,廿九〳,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
«1707-2030»,«月序»,七月,小,建,戊申,奎宿　亢　金よう
«1707-2040»,«暦日1»,一〳,かのとのい,さたん,金,　,大みやう ちう日
«1707-2050»,«暦日2»,二〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1707-2060»,«暦日0»,三〳,みつのとのうし,やふる,,ま日,十し
«1707-2070»,«暦日2»,四〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1707-2080»,«暦日0»,五〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1707-2090»,«暦日2»,六〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1707-2100»,«暦日0»,七〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1707-2110»,«暦日2»,八〳,つちのえむま,とつ,火,ま日,●
«1707-2120»,«暦日0»,九〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1707-2130»,«暦日2»,十〳,かのえさる,たつ,木,立秋七月せつむまの六刻ニ入|末伏,大みやう くゑ日 ふく日 下しきみの時
«1707-2140»,«暦日0»,十一〳,かのとのとり,のそく,,　,十し
«1707-2150»,«暦日2»,十二〳,みつのえいぬ,みつ,水,ま日
«1707-2160»,«暦日0»,十三〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1707-2170»,«暦日2»,十四〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1707-2180»,«暦日0»,十五〳,きのとのうし,とる,,　,●
«1707-2190»,«暦日2»,十六〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1707-2200»,«暦日0»,十七〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1707-2210»,«暦日2»,十八〳,つちのえたつ,なる,木,　,五む日 ちいみ わうまう  いちたちよし
«1707-2220»,«暦日0»,十九〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1707-2230»,«暦日2»,廿〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1707-2240»,«暦日0»,廿一〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1707-2250»,«暦日2»,廿二〳,みつのえさる,たつ,金,　,神よし きしく 大みやう 下しきみの時
«1707-2260»,«暦日0»,廿三〳,みつのとのとり,のそく,,　,十し
«1707-2270»,«暦日2»,廿四〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1707-2280»,«暦日0»,廿五〳,きのとのい,たいら,,七月中とりの三刻,ちう日 めつもん 地火
«1707-2290»,«暦日2»,廿六〳,ひのえね,さたん,水,　, 田かりよし
«1707-2300»,«暦日0»,廿七〳,ひのとのうし,とる,,　,●
«1707-2310»,«暦日2»,廿八〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
