《1687-0000》,# カンマ区切りテキスト形式です。
《1687-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1687-2040》,《月序》,七月,大,建,戊申,翼宿　婁　金よう
《1687-2050》,《暦日1》,一／,ひのとのうし,とる,水,　,●
《1687-2060》,《暦日2》,二／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1687-2070》,《暦日0》,三／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1687-2080》,《暦日2》,四／,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
《1687-2090》,《暦日0》,五／,かのとのみ,おさん,,　,大くわ ちう日
《1687-2100》,《暦日2》,六／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1687-2110》,《暦日0》,七／,みつのとのひつし,とつ,,　,わうまう
《1687-2120》,《暦日2》,八／,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《1687-2130》,《暦日0》,九／,きのとのとり,のそく,,　,十し
《1687-2140》,《暦日2》,十／,ひのえいぬ,みつ,土,　,五む日
《1687-2150》,《暦日0》,十一／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1687-2160》,《暦日2》,十二／,つちのえね,さたん,火,　, けんふく くさかりよし
《1687-2170》,《暦日0》,十三／,つちのとのうし,とる,,　,●
《1687-2180》,《暦日2》,十四／,かのえとら,やふる,木,七月中いの三刻,ふく日  つめとりよし
《1687-2190》,《暦日0》,十五／,かのとのう,あやふ,,　,神よし
《1687-2200》,《暦日2》,十六／,みつのえたつ,なる,水,　,さい下しき 大みやう 五む日 ちいみ
《1687-2210》,《暦日0》,十七／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1687-2220》,《暦日2》,十八／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1687-2230》,《暦日0》,十九／,きのとのひつし,とつ,,　,大みやう 五む日
《1687-2240》,《暦日2》,廿／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1687-2250》,《暦日0》,廿一／,ひのとのとり,のそく,,　,十し
《1687-2260》,《暦日2》,廿二／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1687-2270》,《暦日0》,廿三／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1687-2280》,《暦日2》,廿四／,かのえね,さたん,土,　,神よし ふく日
《1687-2290》,《暦日0》,廿五／,かのとのうし,とる,,　,●
《1687-2300》,《暦日2》,廿六／,みつのえとら,やふる,金,二百十日,大みやう  やたて  つめとりよし
《1687-2310》,《暦日0》,廿七／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1687-2320》,《暦日2》,廿八／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
