«1746-2520»,«暦日2»,一〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1746-2530»,«暦日0»,二〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1746-2540»,«暦日2»,三〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1746-2550»,«暦日0»,四〳,ひのとのう,やふる,,　,さい下しき  田かりよし
«1746-2560»,«暦日2»,五〳,つちのえたつ,あやふ,木,社日,五む日  みそすつくりよし
«1746-2570»,«暦日0»,六〳,つちのとのみ,なる,,　,十し
«1746-2580»,«暦日1»,七〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1746-2590»,«節中»,秋分八月中ひつしの六刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1746-2600»,«暦日1»,八〳,かのとのひつし,ひらく,土,　,●
«1746-2610»,«暦日2»,九〳,みつのえさる,とつ,金,ひかんニなる,きしく 大みやう わうまう
«1746-2620»,«暦日0»,十〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1746-2630»,«暦日2»,十一〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1746-2640»,«暦日0»,十二〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1746-2650»,«暦日2»,十三〳,ひのえね,たいら,水,　,大くわ 地火
«1746-2660»,«暦日0»,十四〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1746-2670»,«暦日2»,十五〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1746-2680»,«暦日0»,十六〳,つちのとのう,やふる,,　,大みやう
«1746-2690»,«暦日2»,十七〳,かのえたつ,あやふ,金,　
«1746-2700»,«暦日0»,十八〳,かのとのみ,なる,,　,十し
«1746-2710»,«暦日2»,十九〳,みつのえむま,おさん,木,　,大みやう めつもん
«1746-2720»,«暦日0»,廿〳,みつのとのひつし,ひらく,,　,●
«1746-2730»,«暦日2»,廿一〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1746-2740»,«暦日0»,廿二〳,きのとのとり,とつ,,　,神よし  田かりよし
«1746-2750»,«節中»,寒露九月せついぬの二刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1746-2760»,«暦日2»,廿三〳,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
«1746-2770»,«暦日0»,廿四〳,ひのとのい,のそく,,　,大みやう ちう日
«1746-2780»,«暦日2»,廿五〳,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
«1746-2790»,«暦日0»,廿六〳,つちのとのうし,たいら,,　,十し
«1746-2800»,«暦日2»,廿七〳,かのえとら,さたん,木,　,●
«1746-2810»,«暦日0»,廿八〳,かのとのう,とる,,　,くゑ日
«1746-2820»,«暦日2»,廿九〳,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
«1746-2830»,«暦日0»,卅〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
«1746-2840»,«月序»,九月,小,建,戊戌,牛宿　胃　土よう
«1746-2850»,«暦日2»,一〳,きのえむま,なる,金,　,くゑ日
«1746-2860»,«暦日0»,二〳,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
«1746-2870»,«暦日2»,三〳,ひのえさる,ひらく,火,　,くゑ日
«1746-2880»,«暦日0»,四〳,ひのとのとり,とつ,,とよう夜ねの三刻ニ入,くゑ日
