«1797-0000»,【 カンマ区切りテキスト形式です。】
«1797-2540»,«暦日2»,五〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1797-2550»,«暦日0»,六〳,みつのとのとり,のそく,,　,十し
«1797-2560»,«暦日2»,七〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1797-2570»,«暦日0»,八〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1797-2580»,«暦日2»,九〳,ひのえね,さたん,水,　, 田かりよし
«1797-2590»,«暦日0»,十〳,ひのとのうし,とる,,　,●
«1797-2600»,«暦日2»,十一〳,つちのえとら,やふる,土,二百十日, たねまき  つめとりよし
«1797-2610»,«暦日0»,十二〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1797-2620»,«暦日2»,十三〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1797-2630»,«暦日0»,十四〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1797-2640»,«暦日1»,十五〳,みつのえむま,おさん,木,　,大みやう 天おん めつもん
«1797-2650»,«節中»,白露八月せつとりの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1797-2660»,«暦日1»,十六〳,みつのとのひつし,ひらく,木,　,●
«1797-2670»,«暦日2»,十七〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1797-2680»,«暦日0»,十八〳,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
«1797-2690»,«暦日2»,十九〳,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
«1797-2700»,«暦日0»,廿〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1797-2710»,«暦日2»,廿一〳,つちのえね,たいら,火,二百廿日,大くわ 地火
«1797-2720»,«暦日0»,廿二〳,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
«1797-2730»,«暦日2»,廿三〳,かのえとら,とる,木,　,月とく きこ  つめとりよし
«1797-2740»,«暦日0»,廿四〳,かのとのう,やふる,,　,ふく日  田かりよし
«1797-2750»,«暦日2»,廿五〳,みつのえたつ,あやふ,水,　,きしく 大みやう 母倉 五む日
