《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2560》,《暦日2》,八／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2570》,《暦日0》,九／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2580》,《暦日2》,十／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2590》,《暦日0》,十一／,みつのとのひつし,とつ,,　,天おん 母倉
《2600》,《暦日2》,十二／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2610》,《暦日0》,十三／,きのとのとり,のそく,,　,十し
《2620》,《暦日2》,十四／,ひのえいぬ,みつ,土,　,母倉 五む日
《2630》,《暦日0》,十五／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2640》,《暦日2》,十六／,つちのえね,さたん,火,　, けんふく くさかりよし
《2650》,《暦日0》,十七／,つちのとのうし,とる,,二百十日,●
《2660》,《暦日2》,十八／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2670》,《暦日0》,十九／,かのとのう,あやふ,,　,神よし
《2680》,《暦日2》,廿／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2690》,《暦日0》,廿一／,みつのとのみ,なる,,天一天上,十し
《2700》,《節中》,白露八月せついの初刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2710》,《暦日2》,廿二／,きのえむま,おさん,金,　,めつもん
《2720》,《暦日0》,廿三／,きのとのひつし,ひらく,,　,●
《2730》,《暦日2》,廿四／,ひのえさる,とつ,火,　,神よし
《2740》,《暦日0》,廿五／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2750》,《暦日2》,廿六／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2760》,《暦日0》,廿七／,つちのとのい,みつ,,二百廿日,神よし ちう日  いちたちよし
《2770》,《暦日2》,廿八／,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
《2780》,《暦日0》,廿九／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2790》,《月序》,八月,大,建,己酉,柳宿　星　日よう
《2800》,《暦日2》,一／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2810》,《暦日0》,二／,みつのとのう,やふる,,　, くらたて 田かりよし
《2820》,《暦日2》,三／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2830》,《暦日0》,四／,きのとのみ,なる,,　,十し
《2840》,《暦日2》,五／,ひのえむま,おさん,水,　,大みやう めつもん
《2850》,《暦日0》,六／,ひのとのひつし,ひらく,,　,●
《2860》,《暦日2》,七／,つちのえさる,とつ,土,社日/ひかんニなる,天しや よろつよし
《2870》,《暦日0》,八／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2880》,《節中》,秋分八月中今暁うしの六刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2890》,《暦日2》,九／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ わうまう
《2900》,《暦日0》,十／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
